"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"02-07-2026 16:00";"NS";"Spain";"";"";"Austria";"0.6 | 1.5";"2 | 1.3";"2.7";"2.6";"45";"40";"20";"10";"2.4";"2.6";"1.8 | 1.3";"0.6 | 1.4"
"World";"WOR";"World Cup";"02-07-2026 20:00";"NS";"Portugal";"";"";"Croatia";"1.4 | 1.1";"1.4 | 1";"2.4";"2.6";"40";"35";"5";"5";"2.4";"2.3";"1.3 | 1";"1.2 | 1.1"
"Brazil";"BRA";"Serie B";"02-07-2026 20:00";"NS";"Cuiabá";"";"";"América Mineiro";"1.9 | 3.1";"2.2 | 2.2";"4.7";"5.4";"75";"65";"60";"35";"5";"4.6";"2.1 | 2.2";"1.8 | 3"
"Brazil";"BRA";"Serie B";"02-07-2026 21:00";"NS";"Fortaleza";"";"";"Ponte Preta";"2.8 | 3.6";"2.3 | 1.7";"5.2";"5.4";"85";"70";"65";"50";"5";"4.6";"2.3 | 1.5";"2.4 | 3.1"
"Finland";"FIN";"Ykkönen";"02-07-2026 13:00";"NS";"Jazz";"";"";"KPV";"1.9 | 1.7";"1.6 | 1";"3.1";"3.9";"55";"50";"30";"15";"3.7";"2.9";"1.5 | 0.9";"1.8 | 1.6"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CODM Meknès";"";"";"FAR Rabat";"3.1 | 2";"2.6 | 2.7";"5.2";"5.1";"90";"80";"50";"40";"4.7";"4.8";"2.4 | 2.6";"2.8 | 2.8"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"RSB Berkane";"";"";"Wydad Casablanca";"2.1 | 2.2";"3.2 | 2.6";"5";"5.1";"95";"80";"55";"40";"4.7";"4.8";"2.9 | 2.5";"2 | 2"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Kawkab Marrakech";"";"";"Maghreb Fès";"2.8 | 2.9";"2.3 | 3.9";"5.9";"5.1";"100";"95";"60";"50";"4.7";"5.5";"2.2 | 3.5";"2.5 | 2.5"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"FUS Rabat";"1.2 | 3.4";"2.7 | 2.1";"4.8";"5.1";"94";"84";"38";"16";"4.7";"4.6";"2.6 | 2";"1.2 | 1.2"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Difaâ El Jadida";"2.6 | 1.6";"2.6 | 2.2";"4.4";"5.1";"90";"75";"54";"27";"4.7";"4.3";"2.3 | 2.2";"2.6 | 2.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Olympique Dcheïra";"";"";"Olympic Safi";"2.4 | 3";"2.1 | 2.5";"5";"5.1";"90";"70";"50";"40";"4.7";"4.8";"2 | 2.5";"2.3 | 2.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"UTS Rabat";"";"";"Ittihad Tanger";"3.1 | 3";"2.4 | 2.7";"5.6";"5.1";"94";"79";"68";"48";"4.7";"5.2";"2.1 | 2.3";"2.9 | 3.2"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Raja Casablanca";"";"";"Hassania Agadir";"3.4 | 2.5";"3 | 1.6";"5.2";"5.1";"90";"80";"59";"48";"4.7";"4.8";"2.8 | 1.5";"3 | 2.7"
"Chile";"CHI";"Chilean Cup";"02-07-2026 19:00";"NS";"Huachipato";"";"";"Concepcion";"2.5 | 2.4";"2.8 | 2.7";"5.2";"4.5";"90";"70";"65";"50";"4.3";"4.6";"2.5 | 2.5";"2.3 | 2"
"Chile";"CHI";"Chilean Cup";"02-07-2026 21:30";"NS";"O'Higgins";"";"";"Colo-Colo";"3 | 1.6";"1.8 | 1.7";"4";"4.5";"80";"55";"45";"25";"4.3";"3.7";"1.8 | 1.6";"2.6 | 1.4"
"Europe";"EUR";"Euro U19";"02-07-2026 10:00";"NS";"Croatia U19";"";"";"Italy U19";"1.7 | 2.8";"1.8 | 2.6";"4.4";"";"80";"60";"45";"40";"";"4.2";"1.6 | 2.5";"1.7 | 2.7"
"Europe";"EUR";"Euro U19";"02-07-2026 14:00";"NS";"Serbia U19";"";"";"Ukraine U19";"2.3 | 1";"3.1 | 1.9";"4.2";"";"75";"60";"40";"30";"";"4";"3 | 1.7";"2.3 | 1"
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 13:00";"NS";"Oriental";"";"";"Atletico Colegiales";"2.2 | 2.4";"2.2 | 1.8";"4.2";"5.2";"75";"55";"39";"29";"4.9";"3.5";"1.8 | 1.4";"2 | 1.9"
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 15:30";"NS";"1 de Marzo Fernando Mora";"";"";"Sport Colonial";"0 | 1.8";"2.5 | 1.5";"2.8";"5.2";"50";"25";"25";"0";"4.9";"2.8";"2.5 | 1.2";"0 | 1.8"
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 18:00";"NS";"Tte. Fariña Caacupé";"";"";"Juventud Ypanense";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 06:00";"NS";"Darwin Olympic";"";"";"Port Darwin";"1.3 | 0.8";"0.9 | 1.6";"2.2";"2.5";"42";"10";"5";"0";"2.4";"2.2";"0.9 | 1.4";"1.3 | 0.8"
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 08:00";"NS";"Palmerston Rovers";"";"";"Garuda";"1.1 | 0.9";"0.8 | 1.3";"2";"2.5";"40";"15";"5";"0";"2.4";"2";"0.8 | 1.3";"1.1 | 0.9"
"Bhutan";"BHU";"Bhutan Premier League";"02-07-2026 09:00";"NS";"Transport United";"";"";"Namlha";"2 | 2.2";"1.7 | 1.5";"3.7";"3.4";"70";"40";"24";"16";"3.2";"3.3";"1.4 | 1.3";"1.9 | 2"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 12:00";"NS";"BATE";"";"";"Gomel";"1.7 | 2.1";"2.4 | 1.5";"3.8";"3.5";"55";"50";"35";"25";"3.4";"3.8";"2.3 | 1.5";"1.6 | 2.1"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 14:00";"NS";"Minsk";"";"";"Dinamo Minsk";"1.3 | 1.9";"1.8 | 2";"3.5";"3.5";"68";"42";"26";"21";"3.4";"3.4";"1.7 | 2";"1.3 | 1.9"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Cumbaya";"";"";"22 de Julio";"2.6 | 1.8";"3.6 | 2.2";"5";"4.9";"90";"83";"53";"46";"4.6";"4.4";"3.3 | 2";"2.4 | 1.2"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Atlético JBG";"";"";"El Nacional";"2 | 2.6";"1.9 | 2.4";"4.4";"4.9";"76";"64";"40";"40";"4.6";"4.2";"1.9 | 2.4";"2 | 2.1"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 21:00";"NS";"Santo Domingo";"";"";"Independiente Juniors";"2.7 | 2.7";"2.4 | 2.7";"5.2";"4.9";"94";"80";"64";"38";"4.6";"4.7";"2.1 | 2.4";"2.3 | 2.6"
"Estonia";"EST";"Meistriliiga";"02-07-2026 13:00";"NS";"Kuressaare";"";"";"Flora";"1.1 | 1.8";"2.7 | 1.9";"3.8";"4.5";"80";"55";"35";"10";"4.3";"3.6";"2.7 | 1.8";"1 | 1.8"
