"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"02-07-2026 16:00";"NS";"Spain";"";"";"Austria";"2 | 0.5";"2 | 1.5";"0 | 2.5";"75";"50";"25";"50";"75";"3";"3";"67 | 17";"";"";"";"";"";"";"24.5";"24.5 | 8";"4.5 | 12"
"World";"WOR";"World Cup";"02-07-2026 20:00";"NS";"Portugal";"";"";"Croatia";"2 | 1.5";"3 | 1.5";"0.5 | 2";"75";"50";"50";"50";"75";"3.5";"3";"67 | 50";"";"";"";"";"";"";"21.2";"12 | 8";"7.5 | 15"
"Brazil";"BRA";"Serie B";"02-07-2026 20:00";"NS";"Cuiabá";"";"";"América Mineiro";"1.4 | 0.6";"0.9 | 0.8";"0.8 | 1.8";"68";"31";"38";"69";"63";"2";"3";"46 | 21";"";"";"";"";"";"";"26.4";"15.4 | 12.9";"9.6 | 15"
"Brazil";"BRA";"Serie B";"02-07-2026 21:00";"NS";"Fortaleza";"";"";"Ponte Preta";"2.3 | 0.4";"2 | 0.7";"1.1 | 2.3";"86";"78";"50";"22";"86";"3";"3";"76 | 14";"";"";"";"";"";"";"27.6";"15.9 | 8.9";"10.1 | 20.4"
"Finland";"FIN";"Ykkönen";"02-07-2026 13:00";"NS";"Jazz";"";"";"KPV";"0.7 | 0.3";"0.8 | 0.5";"2 | 4";"83";"66";"50";"34";"66";"3.6";"3";"22 | 11";"";"";"";"";"";"";"21.8";"7.8 | 5.2";"15.3 | 15.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CODM Meknès";"";"";"FAR Rabat";"1.5 | 1.4";"0.7 | 1.1";"0.6 | 0.9";"45";"30";"45";"70";"45";"1.6";"2";"50 | 47";"";"";"";"";"";"";"18";"8 | 11.2";"9.5 | 7.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"RSB Berkane";"";"";"Wydad Casablanca";"2.1 | 1";"1.5 | 1.2";"1 | 1.1";"50";"45";"45";"55";"55";"2.4";"2";"70 | 33";"";"";"";"";"";"";"21.2";"11.7 | 11.3";"8.3 | 11"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Kawkab Marrakech";"";"";"Maghreb Fès";"1.8 | 2.2";"1.3 | 1.2";"0.8 | 0.5";"70";"35";"50";"65";"70";"1.9";"2";"60 | 73";"";"";"";"";"";"";"18.4";"10 | 8.1";"10.5 | 8.2"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"FUS Rabat";"1 | 1.2";"0.9 | 1.2";"1.1 | 1.5";"65";"40";"55";"60";"60";"2.4";"2";"33 | 40";"";"";"";"";"";"";"18.9";"10.1 | 8.3";"8.7 | 10.7"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Difaâ El Jadida";"1.2 | 1";"1.4 | 0.8";"1.7 | 1";"80";"60";"80";"40";"65";"2.4";"2";"40 | 33";"";"";"";"";"";"";"19";"9.9 | 6.6";"9.1 | 12.3"
