"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"02-07-2026 16:00";"NS";"Spain";"";"";"Austria";"1.33";"9.89";"1.25";"1.35";"";"67 | 17";"1";"68 | 51";"75";"";"3";"3";"2 | 1.5";"0 | 2.5";"25";"75";"50";"50";"3";"24.5";"7.8";"6.5";"2 | 0.5";"8";"100 | 18";"50 | 50";"";"1.5 | 0.5";"0 | 1";"1.5";"1.5";"0 | 1.5";"0.5 | 1";"";"50 | 0";"8.5 | 3";"1 | 0.5";"8.9";"25";"25"
"World";"WOR";"World Cup";"02-07-2026 20:00";"NS";"Portugal";"";"";"Croatia";"1.77";"4.99";"1.33";"1.25";"";"67 | 50";"1";"100 | 51";"75";"";"3.5";"3";"3 | 1.5";"0.5 | 2";"50";"75";"50";"50";"3";"21.2";"8.2";"8.2";"2 | 1.5";"8";"88 | 35";"50 | 50";"";"2 | 1";"0.5 | 1";"1.2";"2.2";"0 | 1";"1 | 0.5";"";"50 | 50";"4 | 2";"3 | 7.5";"8.9";"75";"75"
"Brazil";"BRA";"Serie B";"02-07-2026 20:00";"NS";"Cuiabá";"";"";"América Mineiro";"1.85";"4.56";"1.46";"1.16";"13 | 20";"46 | 21";"1";"31 | 27";"68";"";"2";"3";"0.9 | 0.8";"0.8 | 1.8";"38";"63";"31";"82";"2.3";"26.4";"9.6";"9";"1.4 | 0.6";"9";"77 | 42";"62 | 50";"";"0.4 | 0.4";"0.2 | 0.9";"1.1";"0.9";"0.5 | 0.9";"0.5 | 0.4";"";"25 | 12";"4.9 | 5.8";"2.2 | 5";"10.4";"69";"69"
"Brazil";"BRA";"Serie B";"02-07-2026 21:00";"NS";"Fortaleza";"";"";"Ponte Preta";"";"";"";"";"7 | 19";"76 | 14";"";"68 | 24";"86";"";"3";"3";"2 | 0.7";"1.1 | 2.3";"50";"86";"78";"78";"2.3";"27.6";"10.1";"9";"2.3 | 0.4";"10";"66 | 25";"29 | 71";"";"0.9 | 0.6";"0.6 | 1.3";"1.4";"1.6";"0.6 | 1";"1.1 | 0.1";"";"71 | 14";"4.7 | 4";"2.1 | 7";"10.4";"58";"36"
"Finland";"FIN";"Ykkönen";"02-07-2026 13:00";"NS";"Jazz";"";"";"KPV";"1.56";"4.50";"";"";"7 | 12";"22 | 11";"1";"27 | 17";"83";"";"3.6";"3";"0.8 | 0.5";"2 | 4";"50";"66";"66";"50";"3.4";"21.8";"9.7";"8.8";"0.7 | 0.3";"10";"35 | 2";"50 | 67";"";"0 | 0.3";"1.2 | 2";"2";"1.8";"0.8 | 2";"0.8 | 0.2";"";"17 | 0";"3.2 | 2.5";"6.8 | 5.2";"11";"83";"42"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CODM Meknès";"";"";"FAR Rabat";"5.00";"1.66";"";"";"10 | 2";"50 | 47";"2";"24 | 37";"45";"";"1.6";"2";"0.7 | 1.1";"0.6 | 0.9";"45";"45";"30";"85";"2.1";"18";"7.5";"8.6";"1.5 | 1.4";"9";"84 | 74";"30 | 60";"";"0.2 | 0.7";"0.2 | 0.5";"0.8";"0.8";"0.4 | 0.4";"0.5 | 0.4";"";"40 | 20";"4.9 | 5.6";"3.6 | 3.1";"8";"60";"40"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"RSB Berkane";"";"";"Wydad Casablanca";"2.28";"3.00";"";"";"3 | 5";"70 | 33";"5";"51 | 41";"50";"";"2.4";"2";"1.5 | 1.2";"1 | 1.1";"45";"55";"45";"80";"2.1";"21.2";"8.5";"7.6";"2.1 | 1";"8";"70 | 66";"50 | 40";"";"0.8 | 0.5";"0.4 | 0.4";"1.4";"1";"0.6 | 0.7";"0.7 | 0.7";"";"60 | 30";"4.8 | 4.2";"2.2 | 4.1";"8";"65";"30"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Kawkab Marrakech";"";"";"Maghreb Fès";"3.10";"2.28";"";"";"9 | 1";"60 | 73";"5";"44 | 41";"70";"";"1.9";"2";"1.3 | 1.2";"0.8 | 0.5";"50";"70";"35";"95";"2.1";"18.4";"6.9";"7.2";"1.8 | 2.2";"8";"77 | 88";"40 | 60";"";"0.8 | 0.5";"0.2 | 0.3";"1";"0.9";"0.6 | 0.2";"0.5 | 0.7";"";"50 | 60";"3.5 | 2.5";"3.8 | 4.5";"8";"35";"25"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"FUS Rabat";"2.65";"2.60";"";"";"12 | 7";"33 | 40";"5";"31 | 41";"65";"";"2.4";"2";"0.9 | 1.2";"1.1 | 1.5";"55";"60";"40";"80";"2.1";"18.9";"7.6";"8.4";"1 | 1.2";"8";"66 | 52";"50 | 40";"";"0.3 | 0.6";"0.5 | 0.9";"1.2";"1.2";"0.6 | 0.6";"0.6 | 0.6";"";"20 | 30";"4.4 | 2.7";"4.5 | 5.3";"8";"60";"40"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Difaâ El Jadida";"";"";"";"";"14 | 6";"40 | 33";"";"48 | 27";"80";"";"2.4";"2";"1.4 | 0.8";"1.7 | 1";"80";"65";"60";"85";"2.1";"19";"7.4";"8.4";"1.2 | 1";"8";"46 | 70";"30 | 60";"";"0.6 | 0.2";"1 | 0.4";"1.4";"1.1";"0.7 | 0.6";"0.8 | 0.6";"";"30 | 20";"4.9 | 3.1";"2.7 | 6";"8";"62";"44"
