"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Olympique Dcheïra";"";"";"Olympic Safi";"2.55";"2.60";"";"";"13 | 16";"20 | 30";"5";"20 | 31";"75";"";"2";"2";"0.6 | 0.9";"1.5 | 1.1";"55";"70";"20";"90";"2.1";"19";"8.1";"8.4";"0.6 | 0.9";"8";"52 | 66";"20 | 80";"";"0.4 | 0.5";"0.8 | 0.4";"1";"1";"0.7 | 0.7";"0.2 | 0.4";"";"10 | 10";"3.7 | 2.6";"4.7 | 5.7";"8";"45";"35"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"UTS Rabat";"";"";"Ittihad Tanger";"2.12";"3.20";"";"";"15 | 8";"23 | 37";"5";"31 | 24";"70";"";"2";"2";"0.9 | 0.7";"1.4 | 1";"40";"55";"15";"95";"2.1";"19.5";"8";"7";"0.7 | 1.1";"8";"56 | 70";"20 | 60";"";"0.3 | 0.2";"0.3 | 0.7";"1.2";"0.8";"1.1 | 0.3";"0.6 | 0.5";"";"10 | 30";"4.3 | 4.7";"2.2 | 2.8";"8";"31";"21"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Raja Casablanca";"";"";"Hassania Agadir";"";"";"";"";"4 | 11";"67 | 30";"";"51 | 34";"65";"";"2.2";"2";"1.5 | 1";"0.5 | 1.5";"40";"65";"45";"80";"2.1";"16.6";"7.3";"8.2";"2 | 0.9";"9";"88 | 52";"60 | 60";"";"0.7 | 0.3";"0.1 | 0.5";"1.4";"0.8";"0.4 | 1";"0.8 | 0.7";"";"60 | 20";"5.7 | 3.5";"2.7 | 4.5";"8";"70";"35"
"Chile";"CHI";"Chilean Cup";"02-07-2026 19:00";"NS";"Huachipato";"";"";"Concepcion";"1.75";"4.00";"1.15";"1.44";"";"50 | 17";"1";"34 | 17";"100";"";"2";"3";"1 | 0.5";"1 | 1.5";"25";"50";"0";"100";"2.7";"30.5";"9.8";"11";"1.5 | 0.5";"11";"70 | 52";"100 | 100";"";"0.5 | 0.5";"0 | 0.5";"1.2";"0.8";"1 | 1";"0.5 | 0";"";"50 | 0";"5 | 7";"6.5 | 3.5";"10.1";"100";"100"
"Chile";"CHI";"Chilean Cup";"02-07-2026 21:30";"NS";"O'Higgins";"";"";"Colo-Colo";"";"";"";"";"";"33 | 100";"";"34 | 100";"100";"";"2.5";"3";"1 | 3";"1 | 0";"50";"75";"50";"100";"2.7";"19.8";"6.8";"8";"1 | 3";"9";"70 | 100";"100 | 100";"";"0 | 1.5";"0.5 | 0";"1.5";"1";"0.5 | 0";"1 | 1.5";"";"0 | 100";"6 | 4.5";"1.5 | 4";"10.1";"50";"50"
"Europe";"EUR";"Euro U19";"02-07-2026 10:00";"NS";"Croatia U19";"";"";"Italy U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Europe";"EUR";"Euro U19";"02-07-2026 14:00";"NS";"Serbia U19";"";"";"Ukraine U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 13:00";"NS";"Oriental";"";"";"Atletico Colegiales";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 15:30";"NS";"1 de Marzo Fernando Mora";"";"";"Sport Colonial";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 18:00";"NS";"Tte. Fariña Caacupé";"";"";"Juventud Ypanense";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 06:00";"NS";"Darwin Olympic";"";"";"Port Darwin";"";"";"";"";"5 | 3";"39 | 67";"";"95 | 100";"100";"";"5.6";"6";"2.8 | 3.5";"2 | 3";"83";"100";"92";"25";"4.9";"25.4";"14";"9.8";"1.2 | 2";"10";"35 | 0";"50 | 50";"";"1.3 | 1.5";"1.2 | 1.3";"3";"2.6";"0.8 | 1.7";"1.5 | 2";"";"33 | 67";"5 | 6.2";"4.3 | 4.2";"8.9";"75";"67"
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 08:00";"NS";"Palmerston Rovers";"";"";"Garuda";"";"";"";"";"7 | 9";"29 | 10";"";"58 | 48";"93";"";"5.6";"6";"1.7 | 1.4";"4 | 4.1";"71";"93";"78";"29";"4.9";"27.4";"14.8";"8.5";"0.9 | 0.3";"8";"2 | 2";"57 | 43";"";"0.7 | 0.7";"1.9 | 1.7";"3.1";"2.5";"2.1 | 2.4";"1 | 0.7";"";"29 | 0";"3.6 | 2.1";"6 | 5.3";"8.9";"64";"57"
"Bhutan";"BHU";"Bhutan Premier League";"02-07-2026 09:00";"NS";"Transport United";"";"";"Namlha";"";"";"";"";"6 | 5";"67 | 56";"";"34 | 68";"84";"";"2.8";"3";"1 | 2";"1.3 | 1.3";"66";"67";"50";"84";"3.2";"25.5";"5.6";"9.2";"2 | 1.7";"10";"60 | 60";"67 | 33";"";"0.3 | 0.7";"0.3 | 1";"1.7";"1.2";"1 | 0.3";"0.7 | 1.3";"";"67 | 33";"3 | 2";"6.5 | 7";"9.9";"84";"84"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 12:00";"NS";"BATE";"";"";"Gomel";"5.01";"1.79";"1.32";"1.24";"15 | 5";"28 | 43";"2";"41 | 34";"84";"";"2.3";"3";"1.2 | 1";"1.5 | 0.9";"46";"69";"40";"92";"2.5";"13.7";"6.2";"9.2";"0.8 | 1.3";"10";"52 | 74";"67 | 86";"";"0.5 | 0.4";"0.5 | 0.4";"1.4";"1";"1 | 0.4";"0.7 | 0.6";"";"17 | 29";"2.5 | 4.7";"6 | 5.3";"9.9";"77";"60"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 14:00";"NS";"Minsk";"";"";"Dinamo Minsk";"8.30";"1.47";"1.25";"1.32";"7 | 1";"62 | 90";"2";"68 | 58";"66";"";"2.7";"3";"2 | 1.7";"1 | 0.7";"60";"52";"48";"66";"2.5";"12.8";"5.5";"9.3";"1.9 | 2.7";"9";"70 | 80";"38 | 57";"";"0.8 | 0.3";"0.5 | 0.4";"1.8";"1";"0.5 | 0.3";"1.2 | 1.4";"";"50 | 86";"2.9 | 4.4";"5.1 | 6.1";"9.9";"60";"60"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Cumbaya";"";"";"22 de Julio";"";"";"";"";"10 | 11";"48 | 6";"";"37 | 17";"76";"";"2.6";"2";"1.1 | 0.5";"1.3 | 2.2";"52";"62";"38";"84";"2";"20.4";"7.2";"8.4";"1.4 | 0.2";"8";"60 | 28";"43 | 33";"";"0.9 | 0.2";"0.1 | 0.8";"1.5";"1";"1.1 | 1.3";"0.3 | 0.3";"";"29 | 0";"3.4 | 4.3";"3.4 | 5.7";"8.8";"44";"44"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Atlético JBG";"";"";"El Nacional";"1.53";"5.40";"";"";"3 | 12";"67 | 5";"1";"27 | 24";"60";"";"2";"2";"0.8 | 0.7";"0.3 | 2.1";"52";"52";"37";"86";"2";"21.8";"8.4";"8.6";"2 | 0.1";"9";"100 | 32";"33 | 57";"";"0.3 | 0.4";"0.2 | 1.4";"0.8";"1.2";"0.2 | 0.7";"0.5 | 0.3";"";"50 | 0";"3 | 3.5";"5 | 5.8";"8.8";"54";"45"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 21:00";"NS";"Santo Domingo";"";"";"Independiente Juniors";"";"";"";"";"9 | 2";"78 | 43";"";"51 | 31";"55";"";"1.8";"2";"1.5 | 0.9";"0.3 | 0.9";"38";"62";"31";"93";"2";"18.9";"6.6";"7.6";"2.3 | 1.3";"8";"100 | 74";"67 | 43";"";"0.7 | 0.6";"0.2 | 0.4";"0.8";"0.9";"0.2 | 0.4";"0.8 | 0.3";"";"67 | 29";"4.2 | 3.4";"5 | 2.6";"8.8";"40";"40"
"Estonia";"EST";"Meistriliiga";"02-07-2026 13:00";"NS";"Kuressaare";"";"";"Flora";"6.66";"1.35";"1.12";"1.59";"9 | 2";"42 | 67";"2";"37 | 58";"76";"";"2.8";"3";"1.1 | 1.7";"1.4 | 1.3";"47";"64";"64";"71";"3";"23.2";"8.4";"11";"1.2 | 2";"11";"56 | 60";"50 | 78";"";"0.6 | 0.4";"0.4 | 0.6";"1.8";"1";"1 | 0.8";"0.5 | 1.2";"";"38 | 67";"4.2 | 8.8";"5.6 | 3.4";"10.8";"82";"82"
"Estonia";"EST";"Esiliiga A";"02-07-2026 13:00";"NS";"Tartu Welco";"";"";"Viimsi";"2.11";"2.76";"1.07";"1.62";"1 | 2";"83 | 57";"5";"100 | 44";"80";"";"3.6";"4";"3.8 | 1.3";"1.6 | 0.6";"48";"79";"65";"51";"3.8";"23.7";"11.1";"9.2";"2.5 | 1.7";"9";"49 | 84";"62 | 60";"";"1.6 | 0.8";"0.8 | 0.3";"1.9";"1.8";"0.9 | 0.3";"2.1 | 0.5";"";"75 | 50";"5.1 | 5.7";"5 | 2.6";"10.2";"56";"41"
"Estonia";"EST";"Estonian Cup";"02-07-2026 14:30";"NS";"Tallinna Wolves";"";"";"Tabasalu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ethiopia";"ETH";"Premier League";"02-07-2026 09:00";"NS";"Welwalo Adigrat Uni";"";"";"Kedus Giorgis";"";"";"";"";"13 | 5";"47 | 30";"";"34 | 20";"60";"";"1.9";"2";"1 | 0.6";"0.9 | 1.3";"40";"65";"35";"95";"1.8";"13.7";"5.4";"8";"1.4 | 0.9";"8";"74 | 60";"60 | 60";"";"0.7 | 0.5";"0.5 | 0.5";"0.8";"1.1";"0.4 | 0.8";"0.3 | 0.1";"";"40 | 20";"2.9 | 3.5";"4.9 | 4.7";"7.6";"55";"40"
"Ethiopia";"ETH";"Premier League";"02-07-2026 09:00";"NS";"Awassa Kenema";"";"";"Adama Kenema";"2.12";"3.35";"";"";"7 | 16";"50 | 23";"5";"31 | 24";"50";"";"1.7";"2";"0.9 | 0.7";"0.6 | 1.2";"45";"45";"25";"85";"1.8";"14";"5.1";"6.4";"1.5 | 0.7";"7";"84 | 63";"50 | 50";"";"0.2 | 0.4";"0.2 | 0.6";"1";"0.7";"0.4 | 0.6";"0.7 | 0.3";"";"30 | 10";"2.4 | 3";"4.3 | 3.1";"7.6";"21";"10"
"Ethiopia";"ETH";"Premier League";"02-07-2026 09:00";"NS";"Shire Endaselassie";"";"";"Sheger Ketema";"";"";"";"";"17 | 10";"53 | 53";"";"24 | 44";"55";"";"1.8";"2";"0.7 | 1.3";"0.5 | 1";"40";"60";"15";"95";"1.8";"13.8";"5";"6.5";"1.6 | 1.6";"7";"88 | 70";"30 | 20";"";"0.3 | 0.4";"0.2 | 0.5";"1";"0.7";"0.3 | 0.5";"0.4 | 0.9";"";"40 | 40";"3.3 | 3.4";"3.5 | 2.8";"7.6";"30";"10"
"Finland";"FIN";"Kakkonen";"02-07-2026 12:30";"NS";"EBK";"";"";"ÅIFK";"3.90";"1.64";"";"";"8 | 2";"47 | 67";"2";"54 | 51";"90";"";"2.8";"3";"1.6 | 1.5";"1.6 | 1";"80";"100";"55";"70";"3.7";"20.2";"9.4";"11";"1.4 | 2";"11";"49 | 70";"60 | 50";"";"0.6 | 1";"1.2 | 0.8";"1.1";"1.8";"0.4 | 0.2";"1 | 0.5";"";"40 | 50";"8.4 | 5";"4.4 | 4.2";"11.1";"75";"65"
"Finland";"FIN";"Kakkonen";"02-07-2026 13:00";"NS";"PPJ";"";"";"Kiffen";"2.25";"2.55";"1.10";"1.55";"5 | 3";"47 | 47";"5";"54 | 68";"90";"";"3.2";"4";"1.6 | 2";"1 | 1.8";"70";"70";"60";"70";"3.7";"22.5";"11.4";"11.5";"1.4 | 1.4";"12";"70 | 42";"40 | 40";"";"1.4 | 0.8";"0.8 | 0.4";"1.5";"1.7";"0.2 | 1.4";"0.2 | 1.2";"";"20 | 40";"6.6 | 6";"5.6 | 4.8";"11.1";"90";"90"
"Finland";"FIN";"Kolmonen - Eastern Group";"02-07-2026 12:30";"NS";"Kultsu";"";"";"MiPK";"1.23";"7.00";"";"";"3 | 4";"72 | 67";"3";"100 | 75";"100";"";"3.8";"3";"3.3 | 2.2";"0.7 | 1.4";"56";"75";"74";"45";"4";"31.7";"14.5";"13.6";"2.2 | 2";"12";"80 | 56";"50 | 60";"";"1.2 | 0.7";"0.3 | 0.3";"2.2";"1";"0.3 | 2";"2.2 | 3";"";"67 | 60";"11.3 | 5.3";"4 | 6.7";"10.6";"84";"84"
"Finland";"FIN";"Kolmonen - Eastern Group";"02-07-2026 13:00";"NS";"Kumu";"";"";"LAUTP / 2";"";"";"";"";"11 | 12";"25 | 6";"";"41 | 17";"84";"";"4.5";"4";"1.2 | 0.5";"3.5 | 3.7";"54";"";"71";"50";"4";"";"";"";"0.8 | 0.2";"";"2 | 2";"50 | 50";"";"";"";"1.1";"0.4";"";"";"";"25 | 0";"";"";"10.6";"";""
"Finland";"FIN";"Kolmonen - Eastern Group";"02-07-2026 13:00";"NS";"KJP";"";"";"PeKa";"";"";"";"";"7 | 1";"47 | 87";"";"75 | 100";"90";"";"3.9";"4";"2.2 | 3";"1.2 | 1.4";"60";"100";"80";"20";"4";"25.4";"12.2";"11.2";"1.4 | 2.6";"11";"63 | 56";"80 | 60";"";"1.3 | 0.5";"1.3 | 0.5";"0.8";"1";"1.7 | 3";"1.3 | 7";"";"40 | 80";"6 | 4";"6 | 6.5";"10.6";"75";"75"
"Finland";"FIN";"Kolmonen - Western Group";"02-07-2026 13:00";"NS";"PIF";"";"";"EuPa";"";"";"";"";"4 | 1";"42 | 62";"";"51 | 71";"93";"";"2.9";"4";"1.5 | 2.1";"1.2 | 0.9";"78";"68";"60";"80";"3.7";"23";"11.2";"10.8";"1.2 | 1.9";"11";"63 | 74";"50 | 71";"";"0.2 | 1";"0.5 | 0.4";"1.8";"1.1";"0.8 | 0.4";"1.2 | 1.1";"";"25 | 57";"5 | 6.4";"6 | 4.2";"10";"84";"74"
"Finland";"FIN";"Kolmonen - Western Group";"02-07-2026 13:00";"NS";"SJK-j";"";"";"VPV";"";"";"";"";"5 | 9";"58 | 60";"";"100 | 82";"100";"";"4.4";"4";"3.5 | 2.4";"1 | 2";"42";"78";"65";"35";"3.7";"26.2";"9.9";"9.4";"1.8 | 1.8";"9";"70 | 35";"25 | 20";"";"1 | 0.6";"0.8 | 0.8";"2.9";"1.6";"0.2 | 1.2";"2.5 | 1.8";"";"50 | 60";"10 | 2";"2 | 4.7";"10";"66";"66"
"Finland";"FIN";"Kolmonen - Western Group";"02-07-2026 13:00";"NS";"Ylivieska";"";"";"LBK";"";"";"";"";"7 | 11";"75 | 33";"";"100 | 27";"100";"";"3.5";"3";"3.8 | 0.8";"0.8 | 1.8";"50";"88";"75";"75";"3.7";"";"";"";"2.2 | 1";"";"77 | 42";"25 | 50";"";"2.2 | 0.5";"0.2 | 0.8";"1.6";"1.8";"0.5 | 1";"1.5 | 0.2";"";"75 | 25";"";"";"10";"";""
"Finland";"FIN";"Kolmonen - Western Group";"02-07-2026 13:00";"NS";"Nykarleby IK";"";"";"Sporting Kristina";"";"";"";"";"6 | 4";"83 | 87";"";"100 | 75";"90";"";"3.9";"4";"3 | 2.2";"1.8 | 0.8";"80";"90";"68";"55";"3.7";"25.8";"11";"10.9";"2.5 | 2.6";"10";"42 | 77";"25 | 60";"";"1.8 | 0.8";"1 | 0.4";"1.9";"2";"0.8 | 0.4";"1.2 | 1.4";"";"75 | 80";"7.3 | 2.8";"5 | 6.6";"10";"74";"74"
"Finland";"FIN";"Kolmonen - Western Group";"02-07-2026 14:00";"NS";"Fish United";"";"";"Ylöjärvi United";"";"";"";"";"10 | 5";"27 | 20";"";"41 | 14";"80";"";"3";"4";"1.2 | 0.4";"2 | 2.4";"40";"60";"70";"50";"3.7";"26.6";"12.4";"10.5";"0.8 | 0.6";"10";"35 | 21";"40 | 60";"";"0.2 | 0";"0.8 | 1";"2";"1";"1.2 | 1.4";"1 | 0.4";"";"20 | 20";"4.8 | 4";"7.2 | 5";"10";"100";"64"
"Finland";"FIN";"Kolmonen - Southern Group";"02-07-2026 13:00";"NS";"TuPS";"";"";"TiPS / 2";"";"";"";"";"7 | 11";"50 | 0";"";"95 | 27";"75";"";"4.2";"4";"2.8 | 0.8";"1.8 | 3";"38";"88";"75";"38";"4.1";"25.2";"12.8";"11.6";"1.5 | 0";"11";"42 | 0";"50 | 75";"";"1.2 | 0.5";"1 | 1.8";"1.8";"2.2";"0.8 | 1.2";"1.5 | 0.2";"";"50 | 0";"8.8 | 7.5";"3 | 4";"9.8";"88";"88"
"Finland";"FIN";"Kolmonen - Southern Group";"02-07-2026 13:15";"NS";"Kontu";"";"";"PPS";"1.21";"8.00";"";"";"11 | 12";"42 | 0";"3";"41 | 0";"75";"";"4.9";"4";"1.2 | 0";"2.2 | 6.3";"25";"88";"75";"42";"4.1";"18.8";"11";"10";"1.2 | 0";"10";"28 | 2";"50 | 33";"";"0.5 | 0";"1.2 | 2.7";"2.8";"2.2";"1 | 3.7";"0.8 | 0";"";"25 | 0";"3 | 4";"6.8 | 6.3";"9.8";"71";"71"
"Finland";"FIN";"Kolmonen - Southern Group";"02-07-2026 13:15";"NS";"Gnistan/Ogeli";"";"";"Lahti II";"";"";"";"";"8 | 5";"44 | 27";"";"78 | 27";"70";"";"3.3";"4";"2.3 | 0.8";"1.8 | 1.6";"70";"90";"70";"38";"4.1";"22.2";"9.4";"11";"1.3 | 0.8";"11";"42 | 49";"17 | 40";"";"0.7 | 0.4";"1.2 | 1";"1.6";"1.6";"0.7 | 0.6";"1.7 | 0.4";"";"33 | 20";"5 | 4";"5.2 | 7.7";"9.8";"80";"80"
"Iran";"IRN";"Azadegan League";"02-07-2026 13:00";"NS";"Niroye Zamini";"";"";"Pars Jonoubi Jam";"3.92";"2.22";"";"";"15 | 5";"40 | 60";"5";"24 | 44";"60";"";"1.7";"2";"0.7 | 1.3";"0.6 | 0.8";"40";"40";"25";"95";"1.5";"13.9";"6.6";"6";"1.2 | 1.8";"7";"84 | 77";"50 | 30";"";"0 | 0.7";"0.2 | 0.2";"1.2";"0.6";"0.4 | 0.6";"0.7 | 0.6";"";"20 | 50";"4.4 | 1.5";"2.4 | 3.8";"7";"18";"18"
"Iran";"IRN";"Azadegan League";"02-07-2026 13:15";"NS";"Saipa";"";"";"Shahrdari Noshahr";"1.67";"5.50";"";"";"4 | 16";"67 | 23";"1";"31 | 17";"50";"";"1.4";"1";"0.9 | 0.5";"0.4 | 1";"40";"50";"10";"95";"1.5";"14.5";"5.6";"6.8";"2 | 0.7";"7";"100 | 70";"30 | 70";"";"0.4 | 0.3";"0.2 | 0.5";"0.7";"0.7";"0.2 | 0.5";"0.5 | 0.2";"";"50 | 0";"2.8 | 2.6";"2.3 | 5.8";"7";"38";"28"
"Iceland";"ISL";"Besta deild";"02-07-2026 14:00";"NS";"Thór";"";"";"KR Reykjavík";"6.61";"1.28";"1.04";"2.68";"12 | 2";"17 | 50";"4";"34 | 100";"84";"";"4.5";"5";"1 | 3";"2.3 | 2.7";"75";"84";"75";"34";"4";"31.3";"12";"12.4";"0.5 | 1.5";"12";"25 | 10";"50 | 33";"";"0.2 | 1.5";"1 | 1.3";"2.5";"2";"1.3 | 1.3";"0.8 | 1.5";"";"17 | 50";"7.3 | 8";"6.2 | 3.3";"12.4";"75";"75"
"Iceland";"ISL";"Besta deild";"02-07-2026 16:15";"NS";"Víkingur Reykjavík";"";"";"KA Akureyri";"1.15";"12.07";"1.02";"2.18";"1 | 10";"89 | 39";"3";"100 | 51";"92";"";"3.8";"4";"3.5 | 1.5";"0.5 | 2.2";"58";"75";"67";"42";"4";"29.3";"11.8";"12.9";"2.7 | 1.2";"12";"88 | 28";"67 | 50";"";"1.2 | 0";"0.3 | 1.2";"2.5";"1.4";"0.2 | 1";"2.3 | 1.5";"";"83 | 33";"6.3 | 5";"5 | 9.5";"12.4";"100";"92"
