"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora"
"World";"WOR";"World Cup";"02-07-2026 16:00";"NS";"Spain";"";"";"Austria";"7.3 | 3.6";"1.8 | 2.9";"7.8";"50";"40";"30";"15";"20.8";"17.5 | 9.9";"5.5 | 8.8";"7.2";"6.2 | 4.1";"1.9 | 2.2";"8.9";"90 | 80";"100 | 70";"8";"6.8 | 3.5"
"World";"WOR";"World Cup";"02-07-2026 20:00";"NS";"Portugal";"";"";"Croatia";"5.5 | 5.6";"2.8 | 4";"9";"65";"55";"40";"25";"25.8";"16.8 | 14";"10.9 | 9.9";"8.9";"6 | 4.5";"3.2 | 4.1";"8.9";"50 | 60";"90 | 40";"9";"6.3 | 6.4"
"Brazil";"BRA";"Serie B";"02-07-2026 20:00";"NS";"Cuiabá";"";"";"América Mineiro";"5.6 | 4.3";"3.7 | 5.2";"9.4";"70";"60";"55";"25";"25";"11.8 | 10.8";"10.8 | 16.5";"9.2";"4.6 | 4.4";"3.6 | 5.9";"10.4";"60 | 40";"60 | 30";"10";"11 | 8.7"
"Brazil";"BRA";"Serie B";"02-07-2026 21:00";"NS";"Fortaleza";"";"";"Ponte Preta";"5.4 | 5.8";"4.9 | 6.1";"11.1";"90";"75";"65";"45";"28.2";"13.8 | 10.6";"13.4 | 18.7";"9.2";"4.4 | 2.4";"4.7 | 6.9";"10.4";"50 | 20";"50 | 50";"10";"9.2 | 12.3"
"Finland";"FIN";"Ykkönen";"02-07-2026 13:00";"NS";"Jazz";"";"";"KPV";"3.9 | 4";"6.2 | 6.6";"10.4";"85";"70";"45";"35";"22.1";"9.3 | 7.8";"12.1 | 15";"10.4";"4.2 | 3.6";"5.2 | 7.9";"11";"30 | 40";"20 | 20";"11";"7.2 | 6.5"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CODM Meknès";"";"";"FAR Rabat";"4.4 | 3.7";"3.9 | 3";"7.5";"55";"30";"25";"15";"17.2";"8.4 | 9.7";"8.8 | 7.5";"7.3";"3.6 | 3.8";"3.9 | 3.3";"8";"50 | 60";"60 | 40";"8";"8.4 | 7.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"RSB Berkane";"";"";"Wydad Casablanca";"3.1 | 4.6";"4.7 | 3.2";"7.8";"60";"30";"30";"10";"20";"8.3 | 11.4";"9.8 | 10.5";"8";"3.7 | 5.2";"3 | 4";"8";"70 | 30";"40 | 60";"8";"6.9 | 10.4"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Kawkab Marrakech";"";"";"Maghreb Fès";"2.8 | 2.7";"3.3 | 3.3";"6";"25";"15";"10";"10";"18.6";"10.6 | 9.1";"9.7 | 7.7";"7.2";"4.1 | 4.3";"3.5 | 2.6";"8";"60 | 40";"40 | 40";"7";"8.8 | 9.1"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"FUS Rabat";"5.4 | 4.3";"3.9 | 5.9";"9.8";"84";"56";"50";"38";"18.9";"10.8 | 9.8";"8 | 9.2";"8.1";"4.3 | 3.8";"3.6 | 4.6";"8";"67 | 22";"56 | 33";"9";"10.8 | 8.9"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Difaâ El Jadida";"3.8 | 4.6";"2.9 | 4.3";"7.8";"61";"33";"28";"22";"17";"7.6 | 8.3";"7.4 | 10.7";"7";"3.1 | 3.8";"3.2 | 4";"8";"22 | 44";"56 | 44";"8";"5.8 | 6.4"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Olympique Dcheïra";"";"";"Olympic Safi";"3.4 | 4.4";"6.2 | 4";"9";"65";"40";"40";"35";"19.8";"8.7 | 9.3";"11.8 | 9.7";"7.9";"3.9 | 3.4";"4.9 | 3.6";"8";"40 | 40";"20 | 40";"9";"7.9 | 9.3"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"UTS Rabat";"";"";"Ittihad Tanger";"4.2 | 5.3";"3.4 | 4.4";"8.8";"67";"50";"39";"28";"19";"7.8 | 10.8";"8.6 | 10.9";"8";"3.9 | 4";"3.7 | 4.3";"8";"78 | 67";"44 | 56";"8";"7.8 | 9.8"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Raja Casablanca";"";"";"Hassania Agadir";"5.3 | 5.5";"3.4 | 4.1";"9.2";"74";"53";"42";"21";"18.2";"10.2 | 9.5";"8.6 | 8";"9";"4.4 | 4.6";"5 | 3.9";"8";"67 | 60";"56 | 40";"8";"8.5 | 8.6"
"Chile";"CHI";"Chilean Cup";"02-07-2026 19:00";"NS";"Huachipato";"";"";"Concepcion";"4.5 | 4.8";"6.3 | 5";"10.3";"75";"65";"50";"45";"26.2";"10.8 | 14.4";"15.1 | 12.1";"9";"4 | 4.8";"4.7 | 4.5";"10.1";"70 | 40";"30 | 60";"10";"6.8 | 9.9"
"Chile";"CHI";"Chilean Cup";"02-07-2026 21:30";"NS";"O'Higgins";"";"";"Colo-Colo";"5.4 | 5.2";"3.8 | 3.8";"9.1";"75";"65";"35";"30";"26.2";"12.2 | 17.6";"13.8 | 8.7";"9.6";"4.4 | 7.8";"4.8 | 2.2";"10.1";"60 | 70";"50 | 70";"10";"8.4 | 5.2"
"Europe";"EUR";"Euro U19";"02-07-2026 10:00";"NS";"Croatia U19";"";"";"Italy U19";"5.4 | 6";"3.1 | 3.9";"9.2";"73";"62";"52";"26";"17.2";"10.6 | 13.2";"4.8 | 5.8";"7.4";"4.9 | 5.7";"1.9 | 2.3";"";"44 | 70";"67 | 70";"";"4.2 | 6.6"
"Europe";"EUR";"Euro U19";"02-07-2026 14:00";"NS";"Serbia U19";"";"";"Ukraine U19";"4.2 | 3.8";"4 | 4.2";"8.1";"53";"42";"32";"21";"18.7";"9.4 | 9.3";"10.8 | 7.9";"9.2";"5.4 | 4";"5.1 | 3.7";"";"67 | 40";"33 | 40";"";"4.1 | 4.9"
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 13:00";"NS";"Oriental";"";"";"Atletico Colegiales";"5 | 3.8";"5.4 | 4.2";"9.2";"65";"52";"42";"32";"20";"6.7 | 5.6";"19 | 8.8";"10.6";"4 | 2.9";"9.7 | 4.6";"8";"100 | 67";"60 | 25";"8";"5.2 | 11.2"
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 15:30";"NS";"1 de Marzo Fernando Mora";"";"";"Sport Colonial";"7.5 | 4.8";"4.5 | 7.4";"12.1";"100";"75";"75";"65";"";"";"";"";"";"";"8";"";"50 | 20";"10";""
"Paraguay";"PAR";"Copa Paraguay";"02-07-2026 18:00";"NS";"Tte. Fariña Caacupé";"";"";"Juventud Ypanense";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 06:00";"NS";"Darwin Olympic";"";"";"Port Darwin";"4 | 6.3";"4.6 | 4.5";"9.7";"80";"80";"55";"45";"25.6";"12.7 | 14";"9.7 | 14.8";"14.4";"7 | 7.6";"5.7 | 8.4";"8.9";"50 | 78";"30 | 70";"9";"3.5 | 4.7"
"Australia";"AUS";"Northern Territory Premier League";"02-07-2026 08:00";"NS";"Palmerston Rovers";"";"";"Garuda";"5 | 1.9";"4.9 | 5.1";"8.4";"60";"50";"45";"20";"24.7";"10.3 | 5.5";"17.1 | 16.5";"14";"6.1 | 2.8";"9.9 | 9.3";"8.9";"30 | 10";"40 | 0";"9";"5.4 | 5"
"Bhutan";"BHU";"Bhutan Premier League";"02-07-2026 09:00";"NS";"Transport United";"";"";"Namlha";"4.1 | 3.5";"5.4 | 5.3";"9.2";"76";"69";"46";"31";"28.4";"14.9 | 11.3";"16.7 | 14";"7";"2.6 | 3.7";"4.6 | 3.2";"9.9";"43 | 50";"29 | 33";"10";"12.4 | 5.9"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 12:00";"NS";"BATE";"";"";"Gomel";"3 | 4.6";"5.1 | 4.6";"8.6";"60";"45";"40";"25";"14.9";"6.8 | 6.8";"8.6 | 7.7";"6";"2.8 | 2.6";"3.6 | 3";"9.9";"40 | 40";"30 | 40";"9";"6.8 | 5.2"
"Belarus";"BLR";"Vysshaya Liga";"02-07-2026 14:00";"NS";"Minsk";"";"";"Dinamo Minsk";"2.8 | 4.7";"5.6 | 4.5";"8.8";"58";"37";"26";"20";"13.8";"5.7 | 8.9";"7.4 | 5.7";"6.6";"2.4 | 4.2";"3.9 | 2.7";"9.9";"11 | 70";"33 | 50";"9";"3.6 | 5.2"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Cumbaya";"";"";"22 de Julio";"3.2 | 4.4";"4.8 | 6";"9.2";"65";"65";"52";"32";"18.7";"8 | 6.8";"9 | 13.6";"6.6";"3.7 | 1.4";"3.7 | 4.6";"8.8";"62 | 20";"38 | 40";"8";"8.9 | 17"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 17:30";"NS";"Atlético JBG";"";"";"El Nacional";"3.8 | 4.2";"4.8 | 5.1";"8.9";"66";"50";"50";"39";"22.5";"7.8 | 10.9";"13.5 | 13";"7.8";"2.4 | 4";"3.9 | 5.4";"8.8";"50 | 20";"50 | 40";"9";"9.8 | 18.2"
"Ecuador";"ECU";"Liga Pro Serie B";"02-07-2026 21:00";"NS";"Santo Domingo";"";"";"Independiente Juniors";"4.9 | 3.4";"4.6 | 2.7";"7.8";"48";"42";"35";"24";"18.8";"9.7 | 10.4";"8.7 | 9";"6.8";"4.1 | 4";"2.9 | 2.7";"8.8";"67 | 71";"44 | 71";"8";"10.8 | 8"
