"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"World";"WOR";"World Cup";"02-07-2026 16:00";"NS";"Spain";"";"";"Austria";"1.33";"9.89";"100 | 74";"75 | 88";"1";"76 | 60";"2.2 | 2";"74 | 48";"6.8 | 3.5";"";"";"";"60 | 60";"40 | 20";"0 | 20";"73 | 67";"100 | 80";"60 | 80";"40 | 40";"4x0 | 0x1";"20.8";"2.2 | 2.6";"0.4 | 0.9";"3";"68 | 58";"";"10 | 10";"17.5 | 9.9";"5.5 | 8.8";"7.2";"1.9 | 2.2";"6.2 | 4.1";"0.6 | 1.5";"2 | 1.3";"2.7";"2.6"
"World";"WOR";"World Cup";"02-07-2026 20:00";"NS";"Portugal";"";"";"Croatia";"1.77";"4.99";"77 | 52";"78 | 65";"1";"65 | 59";"1.9 | 2.1";"65 | 56";"6.3 | 6.4";"9";"67 | 11";"22";"50 | 70";"40 | 0";"10 | 30";"63 | 70";"90 | 70";"60 | 100";"50 | 30";"0x0 | 1x2";"25.8";"2.3 | 1.9";"0.8 | 1.5";"3.2";"66 | 56";"";"10 | 10";"16.8 | 14";"10.9 | 9.9";"8.9";"3.2 | 4.1";"6 | 4.5";"1.4 | 1.1";"1.4 | 1";"2.4";"2.6"
"Brazil";"BRA";"Serie B";"02-07-2026 20:00";"NS";"Cuiabá";"";"";"América Mineiro";"1.85";"4.56";"70 | 42";"27 | 34";"1";"52 | 46";"1.3 | 0.7";"50 | 41";"11 | 8.7";"10";"40 | 20";"40";"30 | 20";"40 | 10";"30 | 70";"43 | 23";"70 | 30";"60 | 90";"70 | 80";"0x0 | 2x1";"25";"0.8 | 1";"1 | 1.8";"2.3";"48 | 50";"13 | 20";"10 | 10";"11.8 | 10.8";"10.8 | 16.5";"9.2";"3.6 | 5.9";"4.6 | 4.4";"1.9 | 3.1";"2.2 | 2.2";"4.7";"5.4"
"Brazil";"BRA";"Serie B";"02-07-2026 21:00";"NS";"Fortaleza";"";"";"Ponte Preta";"";"";"63 | 25";"41 | 20";"";"53 | 45";"1.3 | 0.4";"50 | 45";"9.2 | 12.3";"10";"30 | 30";"40";"40 | 10";"10 | 10";"50 | 80";"43 | 13";"50 | 20";"90 | 90";"60 | 90";"1x2 | 2x0";"28.2";"1.2 | 0.6";"1.2 | 2.3";"2.6";"49 | 42";"7 | 19";"10 | 10";"13.8 | 10.6";"13.4 | 18.7";"9.2";"4.7 | 6.9";"4.4 | 2.4";"2.8 | 3.6";"2.3 | 1.7";"5.2";"5.4"
"Finland";"FIN";"Ykkönen";"02-07-2026 13:00";"NS";"Jazz";"";"";"KPV";"1.56";"4.50";"70 | 2";"44 | 41";"1";"42 | 37";"1.7 | 0.6";"39 | 41";"7.2 | 6.5";"9";"11 | 33";"56";"50 | 20";"20 | 0";"30 | 80";"57 | 20";"70 | 20";"80 | 100";"50 | 80";"2x1 | 6x0";"22.1";"1.3 | 1.2";"1 | 3.5";"3.5";"43 | 41";"7 | 12";"10 | 10";"9.3 | 7.8";"12.1 | 15";"10.4";"5.2 | 7.9";"4.2 | 3.6";"1.9 | 1.7";"1.6 | 1";"3.1";"3.9"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CODM Meknès";"";"";"FAR Rabat";"5.00";"1.66";"56 | 70";"34 | 44";"2";"50 | 56";"0.9 | 1.5";"45 | 55";"8.4 | 7.3";"3";"0 | 67";"33";"20 | 30";"30 | 60";"50 | 10";"30 | 50";"50 | 90";"70 | 40";"80 | 70";"1x2 | 1x1";"17.2";"1 | 1.3";"1.4 | 1";"2.3";"48 | 51";"10 | 2";"10 | 10";"8.4 | 9.7";"8.8 | 7.5";"7.3";"3.9 | 3.3";"3.6 | 3.8";"3.1 | 2";"2.6 | 2.7";"5.2";"5.1"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"RSB Berkane";"";"";"Wydad Casablanca";"2.28";"3.00";"80 | 60";"41 | 37";"5";"50 | 51";"2 | 1.2";"54 | 50";"6.9 | 10.4";"10";"30 | 30";"40";"60 | 40";"20 | 0";"20 | 60";"67 | 40";"80 | 40";"80 | 100";"40 | 60";"1x0 | 2x1";"20";"1.2 | 1.1";"0.7 | 1.3";"2.2";"52 | 51";"3 | 5";"10 | 10";"8.3 | 11.4";"9.8 | 10.5";"8";"3 | 4";"3.7 | 5.2";"2.1 | 2.2";"3.2 | 2.6";"5";"5.1"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Kawkab Marrakech";"";"";"Maghreb Fès";"3.10";"2.28";"70 | 77";"41 | 34";"5";"48 | 52";"1.4 | 1.7";"53 | 46";"8.8 | 9.1";"10";"30 | 10";"60";"40 | 50";"20 | 20";"40 | 30";"47 | 57";"60 | 70";"80 | 80";"60 | 50";"0x2 | 1x2";"18.6";"1.2 | 1";"1 | 0.8";"2";"45 | 53";"9 | 1";"10 | 10";"10.6 | 9.1";"9.7 | 7.7";"7.2";"3.5 | 2.6";"4.1 | 4.3";"2.8 | 2.9";"2.3 | 3.9";"5.9";"5.1"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"FUS Rabat";"2.65";"2.60";"63 | 74";"34 | 37";"5";"54 | 49";"1 | 1.4";"51 | 56";"10.8 | 8.9";"10";"40 | 30";"30";"20 | 30";"40 | 50";"40 | 20";"33 | 47";"60 | 80";"60 | 50";"80 | 70";"0x1 | 1x1";"18.9";"1 | 1.1";"1.2 | 0.9";"2.1";"49 | 47";"12 | 7";"10 | 10";"10.8 | 9.8";"8 | 9.2";"8.1";"3.6 | 4.6";"4.3 | 3.8";"1.2 | 3.4";"2.7 | 2.1";"4.8";"5.1"
"Morocco";"MAR";"Botola Pro";"02-07-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Difaâ El Jadida";"";"";"63 | 70";"44 | 44";"";"55 | 46";"1.6 | 1.4";"47 | 50";"5.8 | 6.4";"";"";"";"50 | 30";"10 | 50";"40 | 20";"53 | 47";"60 | 80";"90 | 50";"50 | 70";"1x2 | 1x1";"17";"1.3 | 1.3";"1.2 | 1";"2.4";"55 | 48";"14 | 6";"10 | 10";"7.6 | 8.3";"7.4 | 10.7";"7";"3.2 | 4";"3.1 | 3.8";"2.6 | 1.6";"2.6 | 2.2";"4.4";"5.1"
