"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Aragua";"";"";"Fundación Lara Deportiva";"";"";"3.4";"3.7";"3.8";"3.8";"7.4";"";"100";"100";"95";"85";"";"7.1";"3.8";"3.5";"3.3";"3.6"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Yaracuyanos";"";"";"Caracas";"";"";"3.1";"2.5";"3.1";"2";"5.4";"";"90";"75";"70";"55";"";"5.1";"3";"1.9";"2.9";"2.4"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Bolívar SC";"";"";"Dinamo Puerto La Cruz";"";"";"4.2";"3.7";"3.1";"3.6";"7.2";"";"100";"100";"100";"78";"";"7";"3";"3.6";"3.7";"3.7"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Monagas";"";"";"Mineros de Guayana";"";"";"2.3";"3";"2.6";"3.2";"5.6";"";"94";"89";"78";"62";"";"5.4";"2.6";"3";"2.1";"3"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Atlético El Vigía";"";"";"Real Frontera";"";"";"2.4";"3.7";"2.8";"2.1";"5.5";"";"84";"84";"74";"63";"";"5.2";"2.7";"2.1";"2.2";"3.4"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Atlético Barinas";"";"";"Zamora Fútbol Club";"";"";"1.9";"3.6";"2.8";"3";"5.6";"";"90";"85";"75";"55";"";"5.5";"2.7";"2.9";"1.9";"3.5"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Trujillanos";"";"";"Ureña";"";"";"3.1";"1.7";"3";"3";"5.4";"";"84";"74";"57";"47";"";"5.1";"2.9";"2.6";"3";"1.7"
"Venezuela";"VEN";"Copa Venezuela";"28-06-2026 17:00";"POSTPONED";"Deportivo Lara";"";"";"Rayo Zuliano";"";"";"3";"3.2";"2.5";"2.8";"5.8";"";"95";"85";"75";"60";"";"5.6";"2.5";"2.8";"2.9";"3"
"Argentina";"ARG";"Torneo Promocional Amateur";"28-06-2026 10:00";"INPLAY_2ND_HALF";"Atlético Pilar";"0";"2";"SAT Moreno";"0";"1";"3.5";"2";"3.5";"4";"6.5";"6.3";"100";"100";"100";"100";"5.8";"6";"3.5";"3.5";"3.5";"1.5"
"Argentina";"ARG";"Torneo Promocional Amateur";"28-06-2026 15:00";"NS";"Alumni Los Hornos";"";"";"Las Mandarinas";"";"";"3.6";"3.3";"3.2";"2.3";"6.2";"6.3";"100";"100";"74";"74";"5.8";"5.6";"2.8";"2";"3";"3.3"
"Argentina";"ARG";"Torneo Promocional Amateur";"28-06-2026 15:00";"NS";"Control Orientado";"";"";"Barrancas UMET";"";"";"";"2.2";"";"2.5";"";"6.3";"";"";"";"";"5.8";"";"";"2.3";"";"2.2"
"Argentina";"ARG";"Torneo Promocional Amateur";"28-06-2026 15:30";"NS";"Belgrano Zarate";"";"";"Ezeiza";"";"";"3";"3.4";"3.3";"3.3";"6.5";"6.3";"100";"100";"93";"69";"5.8";"6";"3";"2.9";"3";"3.3"
"Brazil";"BRA";"Carioca C";"28-06-2026 14:45";"POSTPONED";"Vera Cruz RJ";"";"";"CAAC Brasil";"";"";"2.8";"3.1";"5";"1.9";"6.4";"5.8";"93";"86";"70";"63";"5.4";"6";"4.5";"1.9";"2.5";"3"
"Brazil";"BRA";"Carioca C";"28-06-2026 14:45";"POSTPONED";"Barcelona RJ";"";"";"Búzios";"";"";"2.8";"4.2";"2.4";"1.8";"5.6";"5.8";"90";"82";"64";"45";"5.4";"5.2";"2.4";"1.8";"2.4";"3.8"
"Brazil";"BRA";"Carioca C";"28-06-2026 14:45";"POSTPONED";"Cardoso Moreira";"";"";"Independente RJ";"";"";"1";"3";"2";"2.3";"4.2";"5.8";"84";"66";"34";"16";"5.4";"4";"2";"2";"1";"3"
"Brazil";"BRA";"Carioca C";"28-06-2026 14:45";"POSTPONED";"Bréscia";"";"";"EC Resende";"";"";"2.3";"1.2";"2.7";"3.8";"5";"5.8";"100";"64";"46";"36";"5.4";"4.8";"2.3";"3.6";"2.3";"1.2"
"Brazil";"BRA";"Carioca C";"28-06-2026 14:45";"POSTPONED";"Tigres do Brasil";"";"";"União Central";"";"";"3";"4";"3.5";"3.7";"7.1";"5.8";"92";"83";"75";"75";"5.4";"6.4";"3.3";"3.3";"2.5";"3.7"
"Canada";"CAN";"Premier League";"28-06-2026 20:00";"NS";"Cavalry";"";"";"Supra du Québec";"";"";"2";"2.4";"2.5";"1.6";"4.2";"4.2";"85";"60";"40";"30";"4";"4";"2.3";"1.5";"2";"2.2"
"Chile";"CHI";"Chilean Cup";"28-06-2026 13:30";"NS";"Cobresal";"";"";"Antofagasta";"";"";"2.3";"2.7";"1.6";"3";"4.8";"4";"90";"80";"65";"35";"3";"4.7";"1.5";"2.9";"2.3";"2.7"
"Chile";"CHI";"Chilean Cup";"28-06-2026 13:30";"NS";"La Serena";"";"";"Cobreloa";"";"";"2.2";"2.9";"2";"3.2";"5.2";"4";"90";"80";"60";"40";"3";"4.8";"1.9";"3";"2";"2.7"
"Chile";"CHI";"Chilean Cup";"28-06-2026 16:00";"NS";"Huachipato";"";"";"Deportes Temuco";"";"";"2.5";"2.1";"2.9";"2.2";"4.8";"4";"90";"75";"60";"45";"3";"4.5";"2.5";"2.1";"2.3";"2.1"
"Chile";"CHI";"Chilean Cup";"28-06-2026 16:00";"NS";"Unión La Calera";"";"";"Santiago Wanderers";"";"";"2.6";"3.3";"3.1";"3.8";"6.4";"4";"95";"85";"75";"65";"3";"6";"3";"3.4";"2.3";"3.3"
"Chile";"CHI";"Chilean Cup";"28-06-2026 17:00";"NS";"Curicó Unido";"";"";"Univ. Concepción";"";"";"2.8";"3.2";"2.6";"2.9";"5.8";"4";"95";"85";"75";"60";"3";"5.6";"2.6";"2.8";"2.7";"3"
"Chile";"CHI";"Chilean Cup";"28-06-2026 18:00";"NS";"O'Higgins";"";"";"Recoleta";"";"";"2.9";"2.4";"1.8";"3";"5.1";"4";"90";"70";"55";"40";"3";"4.8";"1.8";"2.9";"2.5";"2.4"
"Chile";"CHI";"Chilean Cup";"28-06-2026 18:00";"NS";"Rangers";"";"";"Ñublense";"";"";"2.9";"2.3";"2.2";"2.2";"4.8";"4";"95";"85";"65";"25";"3";"4.6";"2.2";"2";"2.8";"2.1"
"Chile";"CHI";"Chilean Cup";"28-06-2026 18:30";"NS";"Universidad Chile";"";"";"Unión San Felipe";"";"";"2.9";"2.1";"3";"1.5";"4.8";"4";"85";"65";"50";"35";"3";"4.4";"2.8";"1.4";"2.8";"1.9"
"Chile";"CHI";"Chilean Cup";"28-06-2026 21:00";"NS";"Puerto Montt";"";"";"Concepcion";"";"";"2.6";"2.3";"2.5";"2.8";"5.1";"4";"85";"80";"65";"40";"3";"4.4";"2";"2.6";"2.3";"1.9"
"Chile";"CHI";"Segunda División";"28-06-2026 16:00";"NS";"General Velásquez";"";"";"Lota Schwager";"";"";"3.7";"3.5";"3.4";"2.8";"6.7";"6.6";"100";"90";"85";"65";"5.9";"5.8";"3";"2.5";"3";"3.2"
"Chile";"CHI";"Segunda División";"28-06-2026 16:00";"NS";"Santiago Morning";"";"";"Deportes Linares";"";"";"3.8";"3.2";"3.1";"3.2";"6.6";"6.6";"90";"90";"85";"70";"5.9";"6";"3";"2.8";"3.2";"3"
"Chile";"CHI";"Segunda División";"28-06-2026 16:00";"NS";"Brujas de Salamanca";"";"";"Real San Joaquín";"";"";"3.6";"2.9";"4";"3.5";"7";"6.6";"95";"95";"90";"75";"5.9";"6";"3.3";"3";"2.9";"2.8"
"Europe";"EUR";"Euro U19";"28-06-2026 14:00";"NS";"Wales U19";"";"";"Spain U19";"";"";"1.7";"2.4";"1.1";"2.9";"4";"";"73";"51";"30";"30";"";"4";"1.1";"2.9";"1.6";"2.4"
"Europe";"EUR";"Euro U19";"28-06-2026 16:00";"NS";"Germany U19";"";"";"Denmark U19";"";"";"2";"1.4";"1.7";"2.9";"4";"";"72";"51";"34";"29";"";"4";"1.7";"2.9";"2";"1.4"
"Argentina";"ARG";"Primera C";"28-06-2026 13:00";"NS";"Sportivo Barracas";"";"";"Luján";"";"";"2.9";"2.6";"4";"2.9";"6.2";"6.4";"90";"74";"64";"64";"5.8";"5.8";"3.9";"2.5";"2.8";"2.5"
"Argentina";"ARG";"Primera C";"28-06-2026 15:00";"NS";"Puerto Nuevo";"";"";"Victoriano Arenas";"";"";"2.8";"2.4";"3.5";"2.5";"5.6";"6.4";"95";"95";"75";"45";"5.8";"5.2";"3";"2.4";"2.6";"2.4"
"Argentina";"ARG";"Primera C";"28-06-2026 15:00";"NS";"Leandro Nicéforo Alem";"";"";"Berazategui";"";"";"3.3";"3.2";"3.3";"3.3";"6.6";"6.4";"100";"94";"84";"58";"5.8";"5.8";"2.9";"2.9";"2.8";"3"
"Argentina";"ARG";"Primera C";"28-06-2026 15:00";"NS";"Defensores de Cambaceres";"";"";"Estrella del Sur";"";"";"3.4";"4";"2.7";"4.4";"7.2";"6.4";"95";"95";"85";"65";"5.8";"6.5";"2.7";"4";"2.9";"3.4"
"Argentina";"ARG";"Primera B Metropolitana";"28-06-2026 13:00";"NS";"Liniers";"";"";"Villa San Carlos";"";"";"2.3";"3.7";"2.7";"2.9";"5.8";"5.9";"90";"80";"70";"60";"5.6";"5.4";"2.6";"2.6";"2.1";"3.6"
"Argentina";"ARG";"Primera B Metropolitana";"28-06-2026 13:00";"NS";"UAI Urquiza";"";"";"Sportivo Italiano";"";"";"2.6";"2.9";"2.3";"2.8";"5.3";"5.9";"90";"75";"60";"45";"5.6";"5.1";"2.1";"2.7";"2.5";"2.9"
"Argentina";"ARG";"Primera B Metropolitana";"28-06-2026 13:00";"NS";"Deportivo Laferrere";"";"";"Argentino Quilmes";"";"";"2.8";"2.5";"2.6";"2.9";"5.4";"5.9";"100";"85";"60";"45";"5.6";"5";"2.5";"2.6";"2.4";"2.4"
