"Country ";"Short";"League ";"Season";"Active";"matches playeds";"Matches total";"With stats";"+2.5";"+3.5";"+4.5";"+5.5"
"Lebanon";"LIB";"Premier League";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Lithuania";"LTU";"1. Lyga";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Morocco";"MAR";"Botola Pro";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Norway";"NOR";"1. Division";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Papua New Guinea";"PNG";"National Soccer League";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Paraguay";"PAR";"Copa Paraguay";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"United States";"USA";"USL Championship";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"United States";"USA";"USL League One";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"United States";"USA";"USL League Two";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"World";"WOR";"Club Friendlies 1";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"World";"WOR";"Club Friendlies 3";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"World";"WOR";"Club Friendlies 4";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
"Yemen";"YEM";"Yemeni League";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1"
