"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"06-07-2026 16:00";"NS";"Winner Match 83";"";"";"Winner Match 84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"06-07-2026 21:00";"NS";"Winner Match 81";"";"";"Winner Match 82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Vila Nova";"";"";"São Bernardo";"1.87";"4.24";"1.36";"1.24";"";"81 | 76";"1";"68 | 65";"78";"";"2.9";"3";"2 | 1.9";"1.1 | 0.9";"64";"78";"57";"71";"2.3";"25.7";"8.5";"10.7";"2.4 | 2.3";"10";"66 | 74";"29 | 57";"";"1.1 | 0.4";"0.6 | 0.6";"1.5";"1.4";"0.6 | 0.3";"0.9 | 1.4";"";"71 | 71";"5.1 | 3";"5 | 8.3";"10.4";"93";"78"
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Botafogo SP";"";"";"Avaí";"";"";"";"";"";"44 | 19";"";"58 | 34";"86";"";"2.8";"2";"1.7 | 1";"1.2 | 1.7";"70";"86";"62";"77";"2.3";"25.4";"8.8";"10.4";"1.3 | 0.6";"10";"63 | 46";"67 | 57";"";"1 | 0.3";"0.5 | 1";"1.4";"1.4";"0.7 | 0.7";"0.7 | 0.7";"";"33 | 14";"7 | 3.3";"4.2 | 6.4";"10.4";"77";"62"
"Brazil";"BRA";"Copa do Brasil Feminino";"06-07-2026 15:00";"CANCELLED";"Mauaense W";"";"";"São Paulo W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Brommapojkarna";"";"";"GAIS";"3.20";"2.12";"1.25";"1.35";"";"44 | 27";"5";"44 | 41";"74";"";"2.8";"3";"1.3 | 1.2";"1.3 | 1.8";"74";"64";"74";"64";"3.1";"25.5";"9.6";"9.6";"1.3 | 0.8";"10";"60 | 42";"67 | 80";"";"0.7 | 0.2";"0.3 | 1.2";"1.6";"1.2";"1 | 0.6";"0.7 | 1";"";"33 | 20";"4.7 | 4";"6 | 4.6";"9.8";"64";"54"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Häcken";"";"";"Djurgården";"2.44";"2.54";"1.15";"1.56";"";"73 | 67";"5";"82 | 68";"84";"";"3.8";"4";"2.4 | 2";"1.8 | 1.3";"84";"74";"84";"44";"3.1";"28.2";"10.8";"11.6";"2.2 | 2";"11";"42 | 60";"40 | 33";"";"1 | 1.3";"1.2 | 0.7";"1.6";"2.1";"0.6 | 0.7";"1.4 | 0.7";"";"60 | 67";"5 | 8.7";"6 | 3.7";"9.8";"100";"90"
"Uruguay";"URU";"Segunda Division";"06-07-2026 18:00";"NS";"Miramar Misiones";"";"";"Atenas";"";"";"";"";"";"33 | 33";"";"24 | 37";"72";"";"2.2";"2";"0.7 | 1.1";"1 | 1.4";"57";"78";"36";"86";"2.4";"15";"6.3";"9.4";"1 | 1";"10";"70 | 56";"57 | 57";"";"0.4 | 0.6";"0.4 | 0.7";"1.1";"1.1";"0.6 | 0.7";"0.3 | 0.6";"";"14 | 29";"3.4 | 3.6";"6 | 5.7";"9.7";"86";"71"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Colo-Colo";"";"";"Recoleta";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Concepcion";"";"";"Deportes Temuco";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
