"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"Paraguay";"PAR";"Copa Paraguay";"06-07-2026 15:00";"NS";"10 de Julio";"";"";"Naciones Unidas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Deportivo Muñiz";"";"";"Deportivo Español";"";"";"";"";"26 | 13";"33 | 41";"";"34 | 34";"66";"";"2";"2";"1 | 1";"1.1 | 1";"47";"53";"24";"88";"1.9";"12.7";"5";"8.2";"1 | 1.2";"8";"66 | 70";"25 | 56";"";"0.4 | 0.2";"0.5 | 0.3";"1.3";"0.8";"0.6 | 0.7";"0.6 | 0.8";"";"25 | 22";"6.8 | 3.1";"3 | 3.6";"7.8";"48";"43"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Sportivo Barracas";"";"";"Yupanqui";"";"";"";"";"9 | 12";"57 | 46";"";"37 | 34";"61";"";"1.8";"2";"1.1 | 1";"0.5 | 1.1";"24";"58";"22";"94";"1.9";"16.2";"7.9";"9.2";"1.7 | 1.4";"8";"88 | 66";"60 | 25";"";"0.3 | 0.2";"0.3 | 0.8";"1";"0.8";"0.2 | 0.4";"0.8 | 0.8";"";"50 | 38";"3.5 | 4.6";"4.3 | 5.9";"7.8";"85";"58"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Centro Español";"";"";"Mercedes";"1.79";"5.18";"1.57";"1.10";"1 | 17";"58 | 26";"1";"65 | 20";"53";"";"2.2";"3";"1.9 | 0.6";"1.1 | 0.8";"42";"60";"36";"75";"1.9";"19.8";"7.4";"7.9";"1.8 | 0.8";"8";"66 | 77";"62 | 44";"";"1 | 0.1";"0.5 | 0.4";"1.2";"1";"0.6 | 0.3";"0.9 | 0.4";"";"50 | 11";"5.2 | 4.4";"2.9 | 3.2";"7.8";"47";"30"
"Brazil";"BRA";"Serie C";"06-07-2026 19:00";"NS";"Brusque";"";"";"Figueirense";"";"";"";"";"";"83 | 50";"";"58 | 27";"58";"";"2";"2";"1.7 | 0.8";"0.7 | 0.8";"50";"42";"50";"92";"2.3";"24";"8.2";"10.6";"2.5 | 1.5";"11";"80 | 77";"67 | 50";"";"0.5 | 0.2";"0.3 | 0.2";"1.4";"0.6";"0.3 | 0.7";"1.2 | 0.7";"";"83 | 33";"6.8 | 2.8";"6 | 5.5";"10.5";"84";"66"
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manaus U20";"";"";"Inter Academy U20";"";"";"";"";"";"44 | 0";"";"44 | 10";"84";"";"3.4";"4";"1.3 | 0.3";"1.3 | 3.7";"50";"";"67";"67";"4.7";"";"";"";"1.3 | 0";"";"60 | 2";"67 | 33";"";"";"";"0";"0.5";"";"";"";"33 | 0";"";"";"9.2";"";""
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manauara U20";"";"";"São Raimundo AM U20";"";"";"";"";"";"100 | 44";"";"100 | 58";"100";"";"4.2";"5";"4 | 1.7";"0 | 2.7";"34";"";"50";"50";"4.7";"";"";"";"3 | 1.3";"";"100 | 10";"33 | 33";"";"";"";"0.2";"0.2";"";"";"";"100 | 33";"";"";"9.2";"";""
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Amazonas U20";"";"";"Fast Clube U20";"";"";"";"";"";"100 | 100";"";"100 | 85";"100";"";"5.2";"5";"6.7 | 2.5";"0.7 | 0.5";"58";"";"75";"42";"4.7";"";"";"";"3 | 3";"";"80 | 88";"33 | 50";"";"";"";"0.9";"1.1";"";"";"";"100 | 100";"";"";"9.2";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"06-07-2026 14:45";"NS";"América RJ U20";"";"";"Bangu U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Catarinense U20";"06-07-2026 18:00";"NS";"Concórdia U20";"";"";"Joinville U20";"";"";"";"";"";"67 | 27";"";"34 | 34";"70";"";"2.8";"3";"1 | 1";"1 | 2.6";"30";"56";"60";"90";"3.2";"19.4";"8";"8.2";"2 | 0.8";"9";"70 | 14";"60 | 20";"";"0.3 | 0.6";"0 | 0.8";"1.4";"0.8";"1 | 1.8";"2 | 0.4";"";"60 | 20";"3.3 | 3.6";"4 | 5.6";"9.1";"64";"46"
"Iceland";"ISL";"Besta deild";"06-07-2026 16:15";"NS";"Keflavík";"";"";"Fram";"2.86";"2.08";"1.06";"1.90";"";"44 | 72";"5";"41 | 75";"67";"";"3.1";"4";"1.2 | 2.2";"1.3 | 1.5";"58";"75";"50";"58";"4";"29.2";"9.4";"11.2";"1.3 | 2.2";"12";"60 | 52";"50 | 50";"";"0.7 | 1.2";"0.7 | 1";"1.4";"1.8";"0.7 | 0.5";"0.5 | 1";"";"33 | 67";"6.3 | 7.8";"4.5 | 3.7";"12.4";"83";"83"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Asia Talas";"";"";"Abdish-Ata";"";"";"";"";"";"71 | 28";"";"92 | 41";"92";"";"3.8";"4";"2.7 | 1.2";"2.3 | 1.3";"76";"84";"75";"42";"2.8";"12.4";"6.4";"13.2";"2.1 | 0.8";"11";"25 | 60";"57 | 50";"";"1.1 | 0.7";"0.9 | 0.7";"2.1";"1.6";"1.4 | 0.7";"1.6 | 0.5";"";"71 | 17";"8 | 3";"8.5 | 6.8";"9.5";"88";"88"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Neftchi Kochkor-Ata";"";"";"OshMU-Aldier";"";"";"";"";"";"33 | 48";"";"31 | 34";"78";"";"2.2";"2";"0.9 | 1";"1.4 | 1";"57";"64";"36";"93";"2.8";"7.2";"2.2";"10.4";"1 | 1.4";"9";"56 | 70";"43 | 86";"";"0.6 | 0.3";"0.6 | 0.3";"1.2";"0.8";"0.9 | 0.7";"0.3 | 0.7";"";"29 | 29";"4.5 | 7.3";"5 | 4";"9.5";"100";"75"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Kara-Balta";"";"";"Talant";"";"";"";"";"";"8 | 40";"";"31 | 41";"74";"";"2.5";"3";"0.9 | 1.2";"2.1 | 0.8";"61";"64";"58";"71";"2.8";"12.4";"3.6";"9.6";"0.2 | 1.2";"9";"32 | 77";"75 | 60";"";"0.5 | 0.4";"1.2 | 0.4";"1.2";"1.3";"0.9 | 0.4";"0.4 | 0.8";"";"0 | 20";"4.7 | 5.8";"5.4 | 3.2";"9.5";"88";"56"
"Lithuania";"LTU";"A Lyga";"06-07-2026 12:45";"NS";"Sūduva";"";"";"TransINVEST Vilnius";"";"";"";"";"";"73 | 63";"";"54 | 78";"80";"";"2.9";"2";"1.6 | 2.3";"0.5 | 1.4";"55";"75";"65";"60";"2.6";"19.4";"8.3";"9.2";"2.2 | 1.9";"10";"88 | 56";"40 | 60";"";"0.6 | 1.1";"0.2 | 0.6";"1.6";"1.2";"0.3 | 0.8";"1 | 1.2";"";"60 | 60";"4.5 | 4.5";"4.8 | 4.5";"9.4";"60";"60"
"Lithuania";"LTU";"A Lyga";"06-07-2026 13:30";"CANCELLED";"Banga";"";"";"FK Riteriai";"";"";"";"";"";"60 | 4";"";"65 | 10";"79";"";"3";"3";"1.9 | 0.3";"0.9 | 2.8";"36";"69";"64";"63";"2.6";"19.4";"7.4";"9.6";"1.8 | 0.1";"10";"74 | 7";"60 | 44";"";"0.9 | 0.1";"0.4 | 1.7";"1.4";"1.6";"0.5 | 1.1";"1 | 0.2";"";"50 | 0";"4.5 | 4.2";"5 | 5.4";"9.4";"79";"74"
"Latvia";"LVA";"Virsliga";"06-07-2026 13:00";"NS";"Super Nova";"";"";"Ogre United";"";"";"";"";"";"19 | 10";"";"37 | 24";"100";"";"3.6";"3";"1.1 | 0.7";"2.2 | 3.2";"70";"90";"68";"54";"3";"26";"10.2";"10.9";"0.6 | 0.3";"10";"28 | 2";"33 | 60";"";"0.8 | 0.2";"1.3 | 1.5";"1.7";"1.9";"0.9 | 1.7";"0.3 | 0.5";"";"11 | 10";"3.8 | 3.5";"8.7 | 5.8";"9.6";"85";"69"
"Mongolia";"MNG";"Premier League";"06-07-2026 01:00";"NS";"Ulaanbaatar";"";"";"Deren";"";"";"";"";"";"83 | 60";"";"100 | 88";"90";"";"4.2";"4";"3.6 | 2.6";"1.1 | 1.2";"50";"80";"70";"40";"5.1";"23.6";"11.8";"10.2";"2.5 | 1.8";"10";"66 | 63";"40 | 50";"";"1.9 | 1.2";"0.7 | 0.7";"2";"2.2";"0.4 | 0.5";"1.7 | 1.4";"";"80 | 60";"6.1 | 5.2";"3.8 | 5.1";"10.5";"72";"66"
"Mongolia";"MNG";"Premier League";"06-07-2026 04:00";"NS";"Khangarid";"";"";"Central Stallions";"";"";"";"";"";"63 | 63";"";"100 | 99";"95";"";"4.4";"4";"3.3 | 2.9";"1.7 | 0.9";"80";"80";"70";"46";"5.1";"20.6";"9.4";"9.6";"1.9 | 1.9";"10";"46 | 74";"67 | 30";"";"1.2 | 0.8";"0.9 | 0.3";"2.8";"1.6";"0.8 | 0.6";"2.1 | 2.1";"";"56 | 50";"7.1 | 6";"2.6 | 3.4";"10.5";"62";"56"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Kamboi Eagles";"";"";"East End Lions";"";"";"";"";"7 | 5";"73 | 63";"";"44 | 58";"65";"";"2.4";"2";"1.3 | 1.7";"0.7 | 1";"40";"55";"45";"80";"2";"17.2";"6.8";"7.8";"2.2 | 1.9";"8";"80 | 70";"50 | 50";"";"0.8 | 0.6";"0.4 | 0.3";"1.3";"1";"0.3 | 0.7";"0.5 | 1.1";"";"70 | 50";"2.5 | 5.2";"3.2 | 4.6";"7.7";"56";"44"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Mighty Blackpool";"";"";"Bhantal";"";"";"";"";"12 | 9";"37 | 40";"";"34 | 41";"70";"";"2.2";"2";"1 | 1.2";"1.2 | 0.9";"40";"74";"45";"90";"2";"15";"5.6";"7.4";"1.1 | 1.2";"7";"63 | 74";"40 | 50";"";"0.5 | 0.9";"0.4 | 0.7";"0.8";"1.2";"0.8 | 0.1";"0.5 | 0.3";"";"30 | 30";"2.4 | 3.4";"5.4 | 3.4";"7.7";"56";"31"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Diamond Stars";"";"";"Kallon";"";"";"";"";"15 | 8";"63 | 43";"";"34 | 34";"55";"";"2";"2";"1 | 1";"0.6 | 1.3";"45";"60";"35";"90";"2";"17.2";"7.3";"6.9";"1.9 | 1.3";"8";"84 | 60";"40 | 50";"";"0.6 | 0.4";"0.3 | 0.5";"1";"0.9";"0.3 | 0.8";"0.4 | 0.6";"";"50 | 40";"3.5 | 3.4";"3.2 | 3.6";"7.7";"38";"32"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Ports Authority";"";"";"Wilberforce Strikers";"";"";"";"";"6 | 10";"67 | 43";"";"48 | 27";"65";"";"1.9";"2";"1.4 | 0.8";"0.8 | 0.8";"50";"42";"30";"90";"2";"13";"4.9";"6.4";"2 | 1.3";"7";"77 | 77";"40 | 60";"";"0.7 | 0.2";"0.1 | 0.2";"1.2";"0.6";"0.7 | 0.6";"0.7 | 0.6";"";"60 | 20";"2.3 | 4";"3.2 | 3.3";"7.7";"31";"26"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Wusum Stars";"";"";"Old Edwardians";"";"";"";"";"13 | 4";"50 | 63";"";"27 | 34";"50";"";"1.5";"2";"0.8 | 1";"0.8 | 0.4";"35";"50";"20";"100";"2";"13.8";"5.2";"8.9";"1.5 | 1.9";"8";"77 | 100";"50 | 50";"";"0.7 | 0.4";"0.3 | 0";"0.8";"0.7";"0.5 | 0.4";"0.1 | 0.6";"";"40 | 50";"3.5 | 4.1";"3.4 | 6.6";"7.7";"69";"50"
"United States";"USA";"USL League Two";"06-07-2026 19:00";"NS";"West Virginia Chaos";"";"";"Louisville City II";"";"";"";"";"";"87 | 60";"";"54 | 68";"70";"";"2.9";"4";"1.6 | 2";"0.4 | 1.8";"50";"70";"50";"60";"3.6";"";"";"";"2.6 | 1.8";"";"100 | 42";"60 | 60";"";"1 | 0.8";"0 | 0.8";"1.6";"1.3";"0.4 | 1";"0.6 | 1.2";"";"80 | 60";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lorain County Leviathan";"";"";"Erie Sports Center";"";"";"";"";"";"75 | 0";"";"95 | 27";"100";"";"4.4";"4";"2.8 | 0.8";"1.8 | 3.5";"62";"100";"88";"12";"3.6";"";"";"";"2.2 | 0";"";"42 | 2";"50 | 25";"";"1.2 | 0.5";"0.8 | 2.2";"2";"2.4";"1 | 1.2";"1.5 | 0.2";"";"75 | 0";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lansing City";"";"";"Michigan Bucks";"";"";"";"";"";"0 | 67";"";"34 | 68";"90";"";"4.6";"5";"1 | 2";"4.6 | 1.7";"80";"74";"90";"44";"3.6";"";"";"";"0 | 2";"";"2 | 46";"80 | 33";"";"0.6 | 0.7";"1.8 | 0.3";"3";"1.7";"2.8 | 1.3";"0.4 | 1.3";"";"0 | 67";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Kings Hammer Columbus";"";"";"Dayton Dutch Lions";"";"";"";"";"5 | 6";"67 | 25";"";"92 | 17";"75";"";"3";"3";"2.7 | 0.5";"1.3 | 1.5";"62";"75";"75";"66";"3.6";"";"";"";"2 | 0.8";"";"60 | 52";"67 | 50";"";"1.3 | 0.2";"1 | 0.2";"1.6";"1.4";"0.3 | 1.2";"1.3 | 0.2";"";"67 | 25";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Black Rock";"";"";"Seacoast United Phantoms";"";"";"";"";"";"58 | 47";"";"51 | 75";"88";"";"3.4";"4";"1.5 | 2.2";"1 | 2.2";"88";"58";"88";"58";"3.6";"23.2";"10.2";"6.2";"1.8 | 1.4";"8";"70 | 28";"75 | 40";"";"0.8 | 0.2";"0.2 | 0.8";"2.4";"1";"0.8 | 1.4";"0.8 | 2";"";"50 | 40";"3 | 3";"4 | 2.5";"8.7";"25";"25"
"United States";"USA";"USL League Two";"06-07-2026 21:00";"POSTPONED";"Rochester";"";"";"Minneapolis City";"";"";"";"";"9 | 1";"67 | 100";"";"58 | 100";"88";"";"3.6";"4";"1.7 | 3.2";"1.7 | 0.8";"58";"88";"71";"58";"3.6";"";"";"";"2 | 3";"";"46 | 77";"33 | 50";"";"0.3 | 1.5";"1 | 0.2";"2.1";"1.6";"0.7 | 0.5";"1.3 | 1.8";"";"67 | 100";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 21:30";"NS";"Lonestar";"";"";"Hill Country Lobos";"";"";"";"";"";"67 | 25";"";"51 | 34";"88";"";"3.2";"3";"1.5 | 1";"1 | 2.8";"62";"88";"62";"75";"3.6";"";"";"";"2 | 0.8";"";"70 | 7";"50 | 50";"";"0.8 | 1";"0.8 | 1.8";"1";"2.2";"0.2 | 1";"0.8 | 0";"";"50 | 25";"";"";"8.7";"";""
"United States";"USA";"USL League Two";"06-07-2026 23:30";"NS";"Stars FC";"";"";"Tucson";"";"";"";"";"";"83 | 25";"";"95 | 27";"88";"";"3";"3";"2.8 | 0.8";"1.5 | 1";"88";"88";"50";"75";"3.6";"";"";"";"2.5 | 0.8";"";"52 | 70";"50 | 75";"";"1.8 | 0.2";"0.5 | 0.8";"1.4";"1.6";"1 | 0.2";"1 | 0.5";"";"75 | 0";"";"";"8.7";"";""
"United States";"USA";"USL League One";"06-07-2026 00:00";"NS";"Alta";"";"";"Charlotte Independence";"";"";"";"";"";"59 | 52";"";"61 | 82";"89";"";"3.4";"4";"1.8 | 2.4";"1 | 1.7";"78";"89";"71";"36";"2.9";"27.8";"9.6";"11.1";"1.8 | 1.6";"10";"70 | 46";"56 | 43";"";"1 | 1.7";"0.7 | 1.3";"1.1";"2.4";"0.3 | 0.4";"0.8 | 0.7";"";"44 | 43";"4.4 | 5.6";"5.8 | 6.4";"10";"89";"78"
"United States";"USA";"UWS";"06-07-2026 20:00";"NS";"Michigan Jaguars II W";"";"";"Michigan Legends W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"UWS";"06-07-2026 21:00";"NS";"DeKalb County W";"";"";"Berber City W";"";"";"";"";"";"50 | 100";"";"85 | 85";"100";"";"4.8";"5";"2.5 | 2.5";"4 | 0.5";"75";"";"75";"25";"4.6";"";"";"";"1.5 | 3";"";"2 | 88";"50 | 50";"";"";"";"0";"0";"";"";"";"50 | 100";"";"";"0";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group B";"";"";"2nd ranked Group A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group A";"";"";"2nd ranked Group B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Ulytau Zhezkazgan W";"";"";"Ordabasy W";"";"";"";"";"";"0 | 33";"";"7 | 34";"100";"";"6";"5";"0.2 | 1";"6.5 | 4.2";"50";"88";"88";"38";"4.9";"";"";"";"0 | 1";"";"2 | 2";"50 | 25";"";"0 | 0.5";"2.8 | 1";"2.2";"1.8";"3.8 | 7.5";"0.2 | 1.5";"";"0 | 25";"";"";"7.7";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Kairat W";"";"";"Zhetysu W";"";"";"";"";"";"50 | 33";"";"85 | 78";"100";"";"3.9";"4";"2.5 | 2.3";"1 | 2";"42";"100";"100";"42";"4.9";"";"";"";"1.5 | 1";"";"70 | 35";"50 | 33";"";"1 | 2";"0 | 0.7";"2.1";"1.8";"1 | 1.3";"1.5 | 0.3";"";"50 | 33";"";"";"7.7";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"BIIK Shymkent W";"";"";"FC Kaysar W";"";"";"";"";"";"100 | 78";"";"100 | 44";"66";"";"5.1";"5";"8.5 | 1.3";"0 | 0.3";"16";"58";"42";"58";"4.9";"";"";"";"3 | 2.3";"";"100 | 100";"50 | 33";"";"3 | 0.7";"0 | 0";"3.2";"1.8";"0 | 0.3";"5.5 | 0.7";"";"100 | 67";"";"";"7.7";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 10:00";"NS";"Atyrau W";"";"";"Turan Turkistan W";"";"";"";"";"";"33 | 50";"";"17 | 34";"75";"";"1.5";"4";"0.5 | 1";"0.5 | 1";"25";"50";"0";"100";"4.9";"";"";"";"1 | 1.5";"";"88 | 70";"50 | 100";"";"0.5 | 0.5";"0 | 0";"1";"0.5";"0.5 | 1";"0 | 0.5";"";"0 | 50";"";"";"7.7";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 11:00";"NS";"Tobol Kostanay W";"";"";"Zhenys Astana W";"";"";"";"";"";"75 | 67";"";"85 | 100";"88";"";"6.6";"6";"2.5 | 4.7";"1.2 | 4.7";"58";"100";"88";"29";"4.9";"";"";"";"2.2 | 2";"";"63 | 2";"75 | 67";"";"1.5 | 2.7";"1 | 2.7";"2.6";"3.9";"0.2 | 2";"1 | 2";"";"75 | 67";"";"";"7.7";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 13:30";"NS";"Sportfreunde Schwaig";"";"";"Jahn Regensburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 15:30";"CANCELLED";"SE Døns";"";"";"AFC Hornchurch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"East Kilbride";"";"";"Celtic II";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Viktoria Plzeň";"";"";"FC København";"";"";"";"";"";"100 | 11";"";"100 | 34";"100";"";"4.5";"3";"3.5 | 1";"1.5 | 3";"84";"66";"84";"16";"3.4";"22.8";"9.8";"7.2";"3 | 0.3";"8";"52 | 0";"50 | 67";"";"1 | 0.3";"0.5 | 0.7";"3.2";"1.2";"1 | 2.3";"2.5 | 0.7";"";"100 | 0";"5.5 | 3.5";"3.5 | 2";"9";"25";"25"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Fakel";"";"";"Rostov";"";"";"";"";"";"50 | 0";"";"85 | 51";"100";"";"4.8";"4";"2.5 | 1.5";"1.5 | 4";"100";"84";"75";"25";"3.4";"";"";"";"1.5 | 0";"";"52 | 2";"50 | 50";"";"1.3 | 0";"0.7 | 1.5";"3";"1.5";"1.3 | 2.5";"2 | 1.5";"";"25 | 0";"";"";"9";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"CFR Cluj";"";"";"Noah";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"SV Horn";"";"";"Floridsdorfer AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
