"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora"
"Brazil";"BRA";"Catarinense U20";"06-07-2026 18:00";"NS";"Concórdia U20";"";"";"Joinville U20";"3 | 4.4";"5.7 | 6.6";"9.8";"76";"62";"42";"29";"23.7";"8.6 | 10.7";"14.6 | 13.7";"10";"3.9 | 4.2";"5.3 | 6.7";"9.1";"29 | 44";"0 | 22";"10";"9.6 | 13.4"
"Iceland";"ISL";"Besta deild";"06-07-2026 16:15";"NS";"Keflavík";"";"";"Fram";"5.9 | 7.6";"5 | 3.9";"11.2";"80";"80";"75";"65";"29.6";"16.8 | 17";"14.4 | 10.9";"10.6";"4.9 | 6.1";"5.4 | 4.8";"12.4";"60 | 90";"60 | 70";"12";"8.4 | 5"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Asia Talas";"";"";"Abdish-Ata";"6 | 2.6";"7.7 | 5.2";"10.8";"80";"64";"54";"44";"10.3";"7 | 3.6";"5 | 5";"5.7";"3.3 | 2.2";"2.7 | 3.2";"9.5";"50 | 0";"33 | 0";"10";"2.7 | 3"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Neftchi Kochkor-Ata";"";"";"OshMU-Aldier";"3.7 | 6.5";"3 | 4.5";"8.8";"66";"66";"25";"25";"9";"3 | 8";"2 | 5";"2.9";"1.7 | 1";"1.7 | 1.5";"9.5";"33 | 50";"67 | 100";"9";"2.5 | 5.3"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Kara-Balta";"";"";"Talant";"5.1 | 5.4";"5.3 | 4.2";"10";"82";"69";"58";"38";"11.8";"4.4 | 6.8";"6.4 | 5.8";"3.8";"1.9 | 1.6";"2.7 | 1.3";"9.5";"67 | 78";"43 | 67";"10";"4.9 | 8.5"
"Lithuania";"LTU";"A Lyga";"06-07-2026 12:45";"NS";"Sūduva";"";"";"TransINVEST Vilnius";"5.7 | 5.9";"4.1 | 5.7";"10.7";"80";"80";"75";"55";"19.6";"10.7 | 12";"9 | 7.5";"8.2";"4.9 | 4.4";"3.5 | 3.6";"9.4";"50 | 50";"70 | 30";"10";"6.7 | 7.1"
"Lithuania";"LTU";"A Lyga";"06-07-2026 13:30";"CANCELLED";"Banga";"";"";"FK Riteriai";"5 | 3.7";"4.7 | 5.7";"9.5";"68";"68";"64";"46";"19.4";"11.6 | 6.2";"7.9 | 13.1";"8.4";"4.6 | 1.9";"3 | 7.3";"9.4";"50 | 11";"40 | 22";"9";"8.3 | 20.7"
"Latvia";"LVA";"Virsliga";"06-07-2026 13:00";"NS";"Super Nova";"";"";"Ogre United";"3.5 | 3.8";"6.2 | 6.7";"10.1";"90";"70";"55";"45";"26.2";"8.9 | 9.6";"14.8 | 19.1";"10.1";"3.7 | 3.1";"5.8 | 7.6";"9.6";"50 | 30";"30 | 10";"10";"7.3 | 6.4"
"Mongolia";"MNG";"Premier League";"06-07-2026 01:00";"NS";"Ulaanbaatar";"";"";"Deren";"5.8 | 6.1";"4.7 | 3.3";"10";"75";"60";"60";"50";"21.8";"13.5 | 12.8";"9.8 | 7.5";"9.8";"6.1 | 5.8";"4.1 | 3.6";"10.5";"40 | 60";"40 | 50";"10";"4.8 | 3.9"
"Mongolia";"MNG";"Premier League";"06-07-2026 04:00";"NS";"Khangarid";"";"";"Central Stallions";"5.3 | 6.3";"2.7 | 4.7";"9.5";"70";"55";"35";"30";"22.4";"12.4 | 13.1";"9 | 10.4";"10.4";"5.2 | 6.5";"4.7 | 4.4";"10.5";"80 | 60";"80 | 70";"10";"5 | 4.9"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Kamboi Eagles";"";"";"East End Lions";"2 | 4.2";"4.5 | 4.1";"7.4";"50";"44";"38";"18";"16.8";"5.5 | 10.3";"8.2 | 9.6";"6.4";"2.2 | 4.7";"2.2 | 3.7";"7.7";"71 | 29";"38 | 38";"7";"5 | 5.7"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Mighty Blackpool";"";"";"Bhantal";"2.7 | 4.5";"4.3 | 2.6";"7";"41";"24";"17";"12";"16";"11.4 | 6.7";"9.2 | 4.6";"6.4";"3.4 | 2.1";"4.6 | 2.6";"7.7";"57 | 62";"33 | 62";"7";"16.3 | 16.8"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Diamond Stars";"";"";"Kallon";"3.1 | 4";"2.1 | 4.5";"6.8";"36";"30";"30";"12";"19.2";"10.5 | 9.3";"5 | 13.7";"8.1";"4.5 | 3.3";"2 | 6.3";"7.7";"83 | 25";"56 | 25";"7";"11.7 | 31"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Ports Authority";"";"";"Wilberforce Strikers";"2.3 | 4.7";"3.9 | 4.3";"7.6";"42";"36";"36";"24";"13.4";"6 | 6.8";"4.5 | 9.5";"4.4";"2 | 2.2";"1.2 | 3.2";"7.7";"40 | 33";"14 | 67";"8";"6.7 | 11.3"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Wusum Stars";"";"";"Old Edwardians";"5.4 | 4.2";"3.9 | 5";"9.2";"75";"62";"56";"31";"16.8";"7.7 | 6.8";"9.6 | 9.3";"6.4";"3.6 | 3.3";"3.9 | 2.2";"7.7";"50 | 62";"38 | 50";"9";"9.6 | 5.2"
"United States";"USA";"USL League Two";"06-07-2026 19:00";"NS";"West Virginia Chaos";"";"";"Louisville City II";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lorain County Leviathan";"";"";"Erie Sports Center";"4.2 | 2";"5.8 | 6.5";"9.2";"100";"55";"30";"20";"28.8";"14.2 | 11.5";"12.4 | 19.5";"14.6";"6 | 6.5";"6.2 | 10.5";"8.7";"20 | 50";"20 | 0";"9";"6.2 | 16.4"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lansing City";"";"";"Michigan Bucks";"2.8 | 5.4";"5.8 | 3.8";"8.9";"80";"80";"50";"30";"27";"10 | 14.8";"18.8 | 10.4";"12.7";"4.6 | 7.2";"9.6 | 4";"8.7";"60 | 80";"20 | 60";"9";"9.1 | 6.6"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Kings Hammer Columbus";"";"";"Dayton Dutch Lions";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Black Rock";"";"";"Seacoast United Phantoms";"3.6 | 3.4";"4.4 | 3.6";"7.5";"38";"32";"24";"14";"23.6";"9.4 | 14";"10.7 | 13";"11.1";"5 | 6";"4.7 | 6.6";"8.7";"57 | 40";"29 | 40";"8";"5.5 | 9.3"
"United States";"USA";"USL League Two";"06-07-2026 21:00";"POSTPONED";"Rochester";"";"";"Minneapolis City";"2.8 | 5";"5 | 4.7";"8.8";"67";"50";"33";"25";"25.1";"11.2 | 17.2";"14 | 7.8";"11.6";"5.2 | 8.7";"6.8 | 2.7";"8.7";"40 | 83";"17 | 50";"9";"7.5 | 4.6"
"United States";"USA";"USL League Two";"06-07-2026 21:30";"NS";"Lonestar";"";"";"Hill Country Lobos";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 23:30";"NS";"Stars FC";"";"";"Tucson";"3.8 | 4";"5 | 4";"8.4";"62";"36";"36";"28";"22.1";"10.5 | 11.4";"14.7 | 7.6";"11.4";"5.5 | 6.6";"7.2 | 3.4";"8.7";"17 | 40";"17 | 40";"8";"6.6 | 10.4"
"United States";"USA";"USL League One";"06-07-2026 00:00";"NS";"Alta";"";"";"Charlotte Independence";"1.9 | 4.9";"6.5 | 6";"9.6";"65";"60";"60";"45";"26.2";"8.3 | 16.4";"16.3 | 11.4";"9.2";"3.2 | 6.6";"4.2 | 4.3";"10";"20 | 50";"10 | 20";"9";"4 | 5.1"
"United States";"USA";"UWS";"06-07-2026 20:00";"NS";"Michigan Jaguars II W";"";"";"Michigan Legends W";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";""
"United States";"USA";"UWS";"06-07-2026 21:00";"NS";"DeKalb County W";"";"";"Berber City W";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group B";"";"";"2nd ranked Group A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group A";"";"";"2nd ranked Group B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Ulytau Zhezkazgan W";"";"";"Ordabasy W";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Kairat W";"";"";"Zhetysu W";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"BIIK Shymkent W";"";"";"FC Kaysar W";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";""
