"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"06-07-2026 16:00";"NS";"Winner Match 83";"";"";"Winner Match 84";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"06-07-2026 21:00";"NS";"Winner Match 81";"";"";"Winner Match 82";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Vila Nova";"";"";"São Bernardo";"2.4 | 2.6";"3.2 | 2.8";"5.5";"5.4";"90";"85";"65";"45";"5";"5.1";"2.8 | 2.8";"2.2 | 2.4"
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Botafogo SP";"";"";"Avaí";"2.8 | 2.3";"3.1 | 2.1";"5.2";"5.4";"95";"90";"65";"40";"5";"4.9";"2.9 | 2.1";"2.8 | 2"
"Brazil";"BRA";"Copa do Brasil Feminino";"06-07-2026 15:00";"CANCELLED";"Mauaense W";"";"";"São Paulo W";"2.7 | 1.8";"3 | 1.8";"4.6";"4.6";"76";"48";"48";"44";"4.4";"4.2";"2.5 | 1.8";"2.5 | 1.7"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Brommapojkarna";"";"";"GAIS";"1.8 | 2.1";"1.2 | 1.6";"3.4";"3.7";"70";"45";"15";"5";"3.6";"3.2";"1.2 | 1.4";"1.7 | 2.1"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Häcken";"";"";"Djurgården";"2.6 | 1.4";"2 | 2.3";"4.2";"3.7";"75";"60";"45";"15";"3.6";"4";"1.8 | 2.2";"2.6 | 1.4"
"Uruguay";"URU";"Segunda Division";"06-07-2026 18:00";"NS";"Miramar Misiones";"";"";"Atenas";"3.2 | 2.6";"3.7 | 3.1";"6.3";"6.8";"95";"95";"90";"70";"6.4";"6";"3.4 | 2.9";"3.2 | 2.5"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Colo-Colo";"";"";"Recoleta";"1.6 | 2.5";"1.7 | 3.3";"4.6";"4.5";"80";"55";"55";"40";"4.3";"4.4";"1.6 | 3.2";"1.4 | 2.5"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Concepcion";"";"";"Deportes Temuco";"2.4 | 1.9";"2.7 | 2.1";"4.6";"4.5";"80";"65";"60";"30";"4.3";"4.2";"2.5 | 2";"2 | 1.9"
