"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Deportivo Muñiz";"";"";"Deportivo Español";"";"";"77 | 80";"31 | 31";"";"54 | 48";"1.2 | 1.6";"47 | 40";"9.1 | 8";"6";"0 | 50";"50";"30 | 40";"30 | 40";"40 | 20";"40 | 53";"60 | 80";"70 | 60";"70 | 60";"0x0 | 0x0";"15.2";"0.9 | 0.9";"0.8 | 0.7";"1.6";"51 | 47";"26 | 13";"10 | 10";"8.2 | 7.2";"6.7 | 8.4";"6.6";"3 | 3.3";"3.8 | 3.1";"3.3 | 3.1";"2.8 | 2.9";"6";"6.4"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Sportivo Barracas";"";"";"Yupanqui";"";"";"80 | 66";"31 | 41";"";"50 | 47";"1.5 | 1.2";"46 | 52";"11 | 5.8";"10";"40 | 20";"40";"40 | 30";"30 | 30";"30 | 40";"50 | 40";"70 | 60";"70 | 70";"60 | 70";"0x0 | 0x0";"16";"0.9 | 1.2";"0.7 | 1.1";"2";"52 | 51";"9 | 12";"10 | 10";"8.8 | 6.9";"8.1 | 8.3";"7.6";"3.4 | 4";"4 | 3.9";"2.8 | 3.4";"4.1 | 3.5";"6.9";"6.4"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Centro Español";"";"";"Mercedes";"1.79";"5.18";"77 | 84";"54 | 34";"1";"54 | 48";"2 | 1.1";"59 | 46";"6.8 | 7.4";"8";"38 | 38";"25";"60 | 20";"20 | 50";"20 | 30";"67 | 37";"80 | 70";"80 | 50";"40 | 80";"1x0 | 0x0";"18.8";"1.6 | 1";"0.8 | 0.6";"2";"53 | 50";"1 | 17";"10 | 10";"10.9 | 7.4";"8.6 | 10.8";"7.1";"3.3 | 3.4";"4.4 | 3";"2.8 | 2.2";"2.9 | 3.8";"5.8";"6.4"
"Brazil";"BRA";"Serie C";"06-07-2026 19:00";"NS";"Brusque";"";"";"Figueirense";"";"";"70 | 66";"51 | 31";"";"43 | 54";"1.8 | 1.5";"50 | 59";"7.9 | 12.8";"10";"20 | 50";"30";"50 | 40";"30 | 30";"20 | 30";"60 | 50";"80 | 70";"70 | 70";"50 | 60";"1x1 | 1x2";"24.8";"1.5 | 0.9";"1 | 1.1";"2.2";"45 | 54";"";"10 | 10";"11.8 | 11.5";"16.3 | 9.9";"8.2";"4.9 | 3.3";"4.4 | 3.8";"2.6 | 2.1";"2.5 | 2.5";"4.8";"5.5"
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manaus U20";"";"";"Inter Academy U20";"";"";"56 | 2";"61 | 20";"";"";"1.1 | 0";"";"";"";"";"";"30 | 0";"20 | 0";"50 | 100";"37 | 0";"50 | 0";"80 | 100";"70 | 100";"0x1 | 2x1";"";"1.8 | 0.6";"1.4 | 5";"4.4";"";"";"10 | 10";"";"";"";"";"";"";"";"";"5.7"
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manauara U20";"";"";"São Raimundo AM U20";"";"";"84 | 46";"88 | 61";"";"";"2.3 | 1.2";"";"";"";"";"";"71 | 30";"14 | 30";"14 | 40";"76 | 40";"86 | 60";"86 | 70";"29 | 70";"2x0 | 1x1";"";"2.6 | 1.8";"0.6 | 1.7";"3.3";"";"";"7 | 10";"";"";"";"";"";"";"";"";"5.7"
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Amazonas U20";"";"";"Fast Clube U20";"";"";"74 | 74";"100 | 100";"";"";"2.5 | 2.5";"";"";"4";"25 | 50";"25";"80 | 80";"10 | 10";"10 | 10";"83 | 83";"90 | 90";"90 | 90";"20 | 20";"0x0 | 0x2";"";"4.7 | 4";"0.9 | 0.9";"5.2";"58 | 54";"";"10 | 10";"";"";"";"";"";"2.5 | 1.7";"3 | 3";"5.1";"5.7"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"06-07-2026 14:45";"NS";"América RJ U20";"";"";"Bangu U20";"";"";"60 | 70";"54 | 41";"";"50 | 50";"1.9 | 1.6";"51 | 53";"6.2 | 10.4";"7";"86 | 0";"14";"60 | 50";"10 | 10";"30 | 40";"63 | 53";"70 | 60";"90 | 90";"40 | 50";"0x1 | 0x1";"22.8";"1.6 | 1.2";"1.3 | 1";"2.6";"50 | 48";"";"10 | 10";"10 | 12.5";"10.2 | 12.8";"7.6";"3.8 | 3.8";"4.2 | 3.5";"3.7 | 4.3";"3.5 | 3.3";"7.4";"5.9"
"Brazil";"BRA";"Catarinense U20";"06-07-2026 18:00";"NS";"Concórdia U20";"";"";"Joinville U20";"";"";"46 | 28";"31 | 27";"";"40 | 45";"1.1 | 0.5";"40 | 45";"9.6 | 13.4";"6";"0 | 67";"33";"30 | 10";"20 | 20";"50 | 70";"37 | 17";"50 | 30";"80 | 80";"70 | 90";"1x0 | 3x0";"23.7";"0.9 | 0.8";"1.7 | 2.2";"2.8";"43 | 47";"";"10 | 10";"8.6 | 10.7";"14.6 | 13.7";"10";"5.3 | 6.7";"3.9 | 4.2";"3.7 | 3.4";"3.3 | 2.2";"6.4";"7.1"
"Iceland";"ISL";"Besta deild";"06-07-2026 16:15";"NS";"Keflavík";"";"";"Fram";"2.86";"2.08";"46 | 35";"48 | 85";"5";"51 | 57";"1.5 | 2.2";"49 | 61";"8.4 | 5";"10";"50 | 30";"20";"40 | 70";"30 | 10";"30 | 20";"50 | 73";"70 | 80";"70 | 90";"60 | 30";"1x1 | 3x4";"29.6";"1.4 | 2.5";"1.7 | 2";"3.8";"48 | 47";"";"10 | 10";"16.8 | 17";"14.4 | 10.9";"10.6";"5.4 | 4.8";"4.9 | 6.1";"2.1 | 2";"1.3 | 1.5";"3.4";"4.3"
