"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"Paraguay";"PAR";"Copa Paraguay";"06-07-2026 15:00";"NS";"10 de Julio";"";"";"Naciones Unidas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Deportivo Muñiz";"";"";"Deportivo Español";"1 | 1.2";"1 | 1";"1.1 | 1";"66";"24";"47";"76";"53";"2";"2";"33 | 41";"";"";"";"";"";"";"12.7";"7 | 5.3";"5.5 | 7.6"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Sportivo Barracas";"";"";"Yupanqui";"1.7 | 1.4";"1.1 | 1";"0.5 | 1.1";"61";"22";"24";"78";"58";"1.8";"2";"57 | 46";"";"";"";"";"";"";"16.2";"8.2 | 6.4";"6.5 | 11.4"
"Argentina";"ARG";"Primera C";"06-07-2026 15:00";"NS";"Centro Español";"";"";"Mercedes";"1.8 | 0.8";"1.9 | 0.6";"1.1 | 0.8";"53";"36";"42";"64";"60";"2.2";"3";"58 | 26";"";"";"";"";"";"";"19.8";"12.2 | 6.1";"10.1 | 11.1"
"Brazil";"BRA";"Serie C";"06-07-2026 19:00";"NS";"Brusque";"";"";"Figueirense";"2.5 | 1.5";"1.7 | 0.8";"0.7 | 0.8";"58";"50";"50";"50";"42";"2";"2";"83 | 50";"";"";"";"";"";"";"24";"13 | 8.3";"15 | 11.7"
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manaus U20";"";"";"Inter Academy U20";"1.3 | 0";"1.3 | 0.3";"1.3 | 3.7";"84";"67";"50";"33";"";"3.4";"4";"44 | 0";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Manauara U20";"";"";"São Raimundo AM U20";"3 | 1.3";"4 | 1.7";"0 | 2.7";"100";"50";"34";"50";"";"4.2";"5";"100 | 44";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"06-07-2026 16:00";"NS";"Amazonas U20";"";"";"Fast Clube U20";"3 | 3";"6.7 | 2.5";"0.7 | 0.5";"100";"75";"58";"25";"";"5.2";"5";"100 | 100";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"06-07-2026 14:45";"NS";"América RJ U20";"";"";"Bangu U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Catarinense U20";"06-07-2026 18:00";"NS";"Concórdia U20";"";"";"Joinville U20";"2 | 0.8";"1 | 1";"1 | 2.6";"70";"60";"30";"40";"56";"2.8";"3";"67 | 27";"";"";"";"";"";"";"19.4";"7.7 | 8.8";"8 | 14.4"
"Iceland";"ISL";"Besta deild";"06-07-2026 16:15";"NS";"Keflavík";"";"";"Fram";"1.3 | 2.2";"1.2 | 2.2";"1.3 | 1.5";"67";"50";"58";"50";"75";"3.1";"4";"44 | 72";"";"";"";"";"";"";"29.2";"17.5 | 17.8";"14 | 9"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Asia Talas";"";"";"Abdish-Ata";"2.1 | 0.8";"2.7 | 1.2";"2.3 | 1.3";"92";"75";"76";"25";"84";"3.8";"4";"71 | 28";"";"";"";"";"";"";"12.4";"9.5 | 4.2";"6.5 | 4.5"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Neftchi Kochkor-Ata";"";"";"OshMU-Aldier";"1 | 1.4";"0.9 | 1";"1.4 | 1";"78";"36";"57";"64";"64";"2.2";"2";"33 | 48";"";"";"";"";"";"";"7.2";"1.5 | 5.7";"3 | 4.3"
"Kyrgyzstan";"KGZ";"Top Liga";"06-07-2026 21:00";"NS";"Kara-Balta";"";"";"Talant";"0.2 | 1.2";"0.9 | 1.2";"2.1 | 0.8";"74";"58";"61";"42";"64";"2.5";"3";"8 | 40";"";"";"";"";"";"";"12.4";"3.4 | 10";"4.6 | 6.8"
"Lithuania";"LTU";"A Lyga";"06-07-2026 12:45";"NS";"Sūduva";"";"";"TransINVEST Vilnius";"2.2 | 1.9";"1.6 | 2.3";"0.5 | 1.4";"80";"65";"55";"35";"75";"2.9";"2";"73 | 63";"";"";"";"";"";"";"19.4";"10.7 | 10.6";"9.4 | 8.1"
"Lithuania";"LTU";"A Lyga";"06-07-2026 13:30";"CANCELLED";"Banga";"";"";"FK Riteriai";"1.8 | 0.1";"1.9 | 0.3";"0.9 | 2.8";"79";"64";"36";"36";"69";"3";"3";"60 | 4";"";"";"";"";"";"";"19.4";"10.7 | 6.6";"9.8 | 11.8"
"Latvia";"LVA";"Virsliga";"06-07-2026 13:00";"NS";"Super Nova";"";"";"Ogre United";"0.6 | 0.3";"1.1 | 0.7";"2.2 | 3.2";"100";"68";"70";"32";"90";"3.6";"3";"19 | 10";"";"";"";"";"";"";"26";"7.9 | 9.3";"16.8 | 18.1"
"Mongolia";"MNG";"Premier League";"06-07-2026 01:00";"NS";"Ulaanbaatar";"";"";"Deren";"2.5 | 1.8";"3.6 | 2.6";"1.1 | 1.2";"90";"70";"50";"30";"80";"4.2";"4";"83 | 60";"";"";"";"";"";"";"23.6";"13.5 | 14.4";"9.9 | 9.4"
"Mongolia";"MNG";"Premier League";"06-07-2026 04:00";"NS";"Khangarid";"";"";"Central Stallions";"1.9 | 1.9";"3.3 | 2.9";"1.7 | 0.9";"95";"70";"80";"30";"80";"4.4";"4";"63 | 63";"";"";"";"";"";"";"20.6";"12.3 | 12.9";"7.5 | 8.5"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Kamboi Eagles";"";"";"East End Lions";"2.2 | 1.9";"1.3 | 1.7";"0.7 | 1";"65";"45";"40";"55";"55";"2.4";"2";"73 | 63";"";"";"";"";"";"";"17.2";"8.5 | 11.4";"7.8 | 6.6"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Mighty Blackpool";"";"";"Bhantal";"1.1 | 1.2";"1 | 1.2";"1.2 | 0.9";"70";"45";"40";"55";"74";"2.2";"2";"37 | 40";"";"";"";"";"";"";"15";"7.4 | 7";"9.4 | 6.2"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Diamond Stars";"";"";"Kallon";"1.9 | 1.3";"1 | 1";"0.6 | 1.3";"55";"35";"45";"65";"60";"2";"2";"63 | 43";"";"";"";"";"";"";"17.2";"9.7 | 8.7";"6.2 | 10"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Ports Authority";"";"";"Wilberforce Strikers";"2 | 1.3";"1.4 | 0.8";"0.8 | 0.8";"65";"30";"50";"70";"42";"1.9";"2";"67 | 43";"";"";"";"";"";"";"13";"5.3 | 6.7";"5.1 | 9"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Wusum Stars";"";"";"Old Edwardians";"1.5 | 1.9";"0.8 | 1";"0.8 | 0.4";"50";"20";"35";"80";"50";"1.5";"2";"50 | 63";"";"";"";"";"";"";"13.8";"6.6 | 6.9";"6.2 | 7.7"
"United States";"USA";"USL League Two";"06-07-2026 19:00";"NS";"West Virginia Chaos";"";"";"Louisville City II";"2.6 | 1.8";"1.6 | 2";"0.4 | 1.8";"70";"50";"50";"50";"70";"2.9";"4";"87 | 60";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lorain County Leviathan";"";"";"Erie Sports Center";"2.2 | 0";"2.8 | 0.8";"1.8 | 3.5";"100";"88";"62";"12";"100";"4.4";"4";"75 | 0";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lansing City";"";"";"Michigan Bucks";"0 | 2";"1 | 2";"4.6 | 1.7";"90";"90";"80";"10";"74";"4.6";"5";"0 | 67";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Kings Hammer Columbus";"";"";"Dayton Dutch Lions";"2 | 0.8";"2.7 | 0.5";"1.3 | 1.5";"75";"75";"62";"25";"75";"3";"3";"67 | 25";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Black Rock";"";"";"Seacoast United Phantoms";"1.8 | 1.4";"1.5 | 2.2";"1 | 2.2";"88";"88";"88";"12";"58";"3.4";"4";"58 | 47";"";"";"";"";"";"";"23.2";"6.5 | 15";"11.5 | 13.5"
"United States";"USA";"USL League Two";"06-07-2026 21:00";"POSTPONED";"Rochester";"";"";"Minneapolis City";"2 | 3";"1.7 | 3.2";"1.7 | 0.8";"88";"71";"58";"29";"88";"3.6";"4";"67 | 100";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 21:30";"NS";"Lonestar";"";"";"Hill Country Lobos";"2 | 0.8";"1.5 | 1";"1 | 2.8";"88";"62";"62";"38";"88";"3.2";"3";"67 | 25";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"06-07-2026 23:30";"NS";"Stars FC";"";"";"Tucson";"2.5 | 0.8";"2.8 | 0.8";"1.5 | 1";"88";"50";"88";"50";"88";"3";"3";"83 | 25";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League One";"06-07-2026 00:00";"NS";"Alta";"";"";"Charlotte Independence";"1.8 | 1.6";"1.8 | 2.4";"1 | 1.7";"89";"71";"78";"29";"89";"3.4";"4";"59 | 52";"";"";"";"";"";"";"27.8";"13.7 | 16.3";"12.7 | 13"
"United States";"USA";"UWS";"06-07-2026 20:00";"NS";"Michigan Jaguars II W";"";"";"Michigan Legends W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"UWS";"06-07-2026 21:00";"NS";"DeKalb County W";"";"";"Berber City W";"1.5 | 3";"2.5 | 2.5";"4 | 0.5";"100";"75";"75";"25";"";"4.8";"5";"50 | 100";"";"";"";"";"";"";"";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group B";"";"";"2nd ranked Group A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Europe";"EUR";"Euro U19 Women";"06-07-2026 21:00";"NS";"1st ranked Group A";"";"";"2nd ranked Group B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Ulytau Zhezkazgan W";"";"";"Ordabasy W";"0 | 1";"0.2 | 1";"6.5 | 4.2";"100";"88";"50";"12";"88";"6";"5";"0 | 33";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"Kairat W";"";"";"Zhetysu W";"1.5 | 1";"2.5 | 2.3";"1 | 2";"100";"100";"42";"0";"100";"3.9";"4";"50 | 33";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 09:00";"NS";"BIIK Shymkent W";"";"";"FC Kaysar W";"3 | 2.3";"8.5 | 1.3";"0 | 0.3";"66";"42";"16";"58";"58";"5.1";"5";"100 | 78";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 10:00";"NS";"Atyrau W";"";"";"Turan Turkistan W";"1 | 1.5";"0.5 | 1";"0.5 | 1";"75";"0";"25";"100";"50";"1.5";"4";"33 | 50";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"06-07-2026 11:00";"NS";"Tobol Kostanay W";"";"";"Zhenys Astana W";"2.2 | 2";"2.5 | 4.7";"1.2 | 4.7";"88";"88";"58";"12";"100";"6.6";"6";"75 | 67";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 13:30";"NS";"Sportfreunde Schwaig";"";"";"Jahn Regensburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 15:30";"CANCELLED";"SE Døns";"";"";"AFC Hornchurch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"East Kilbride";"";"";"Celtic II";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Viktoria Plzeň";"";"";"FC København";"3 | 0.3";"3.5 | 1";"1.5 | 3";"100";"84";"84";"16";"66";"4.5";"3";"100 | 11";"";"";"";"";"";"";"22.8";"14 | 14";"8.5 | 9"
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Fakel";"";"";"Rostov";"1.5 | 0";"2.5 | 1.5";"1.5 | 4";"100";"75";"100";"25";"84";"4.8";"4";"50 | 0";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"CFR Cluj";"";"";"Noah";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"SV Horn";"";"";"Floridsdorfer AC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Pogon Grodzisk Mazowiecki";"";"";"Trenčín";"1.2 | 1.3";"1.2 | 2";"1.5 | 2";"100";"75";"75";"25";"100";"3.4";"4";"42 | 44";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Podbeskidzie";"";"";"Banik Ostrava B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Viktoria Köln";"";"";"TSV Steinbach";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"06-07-2026 21:00";"NS";"Karviná";"";"";"Zemplín Michalovce";"1 | 0.7";"1.8 | 1.5";"2.5 | 2.3";"92";"84";"92";"16";"79";"4";"4";"33 | 22";"";"";"";"";"";"";"";"";""
