"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"06-07-2026 16:00";"NS";"Winner Match 83";"";"";"Winner Match 84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"06-07-2026 21:00";"NS";"Winner Match 81";"";"";"Winner Match 82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Vila Nova";"";"";"São Bernardo";"2.4 | 2.3";"2 | 1.9";"1.1 | 0.9";"78";"57";"64";"43";"78";"2.9";"3";"81 | 76";"";"";"";"";"";"";"25.7";"14.4 | 9.3";"8.9 | 18.9"
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Botafogo SP";"";"";"Avaí";"1.3 | 0.6";"1.7 | 1";"1.2 | 1.7";"86";"62";"70";"38";"86";"2.8";"2";"44 | 19";"";"";"";"";"";"";"25.4";"11.8 | 9.6";"9.3 | 20.1"
"Brazil";"BRA";"Copa do Brasil Feminino";"06-07-2026 15:00";"CANCELLED";"Mauaense W";"";"";"São Paulo W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Brommapojkarna";"";"";"GAIS";"1.3 | 0.8";"1.3 | 1.2";"1.3 | 1.8";"74";"74";"74";"26";"64";"2.8";"3";"44 | 27";"";"";"";"";"";"";"25.5";"12 | 10.6";"17.3 | 11"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Häcken";"";"";"Djurgården";"2.2 | 2";"2.4 | 2";"1.8 | 1.3";"84";"84";"84";"16";"74";"3.8";"4";"73 | 67";"";"";"";"";"";"";"28.2";"14.8 | 16.7";"13.6 | 11.3"
"Uruguay";"URU";"Segunda Division";"06-07-2026 18:00";"NS";"Miramar Misiones";"";"";"Atenas";"1 | 1";"0.7 | 1.1";"1 | 1.4";"72";"36";"57";"64";"78";"2.2";"2";"33 | 33";"";"";"";"";"";"";"15";"6.6 | 8.1";"7.4 | 7.7"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Colo-Colo";"";"";"Recoleta";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Concepcion";"";"";"Deportes Temuco";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
