"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"World";"WOR";"World Cup";"30-06-2026 14:00";"NS";"Côte d'Ivoire";"";"";"Norway";"3.49";"2.13";"70 | 56";"65 | 75";"5";"55 | 54";"1.9 | 1.8";"48 | 52";"5.3 | 5.3";"";"";"";"60 | 50";"10 | 30";"30 | 20";"63 | 60";"70 | 80";"90 | 70";"40 | 50";"0x1 | 1x4";"24.5";"1.9 | 2.2";"1 | 1.4";"3.2";"54 | 53";"";"10 | 10";"13.1 | 12.9";"11.1 | 11.9";"7.8";"3.2 | 4.2";"3.8 | 4.5";"1.1 | 0.5";"0.9 | 0.8";"1.6";"2.6"
"World";"WOR";"World Cup";"30-06-2026 18:00";"NS";"France";"";"";"Sweden";"1.28";"9.97";"70 | 32";"95 | 61";"3";"68 | 49";"2.5 | 1.2";"67 | 44";"5.1 | 5.1";"7";"71 | 29";"0";"80 | 30";"10 | 30";"10 | 40";"83 | 40";"90 | 60";"90 | 70";"20 | 70";"3x1 | 1x1";"23.4";"2.8 | 1.8";"1 | 2.1";"3.8";"62 | 48";"";"10 | 10";"17.3 | 11";"6.8 | 11.7";"9.1";"2.3 | 4.7";"6.4 | 4.8";"1 | 1.5";"1.3 | 1.3";"2.6";"2.6"
"World";"WOR";"World Cup";"30-06-2026 22:00";"NS";"Mexico";"";"";"Ecuador";"2.24";"3.84";"100 | 84";"68 | 41";"5";"57 | 60";"2.6 | 1.7";"44 | 55";"5.6 | 9.1";"10";"30 | 30";"40";"80 | 40";"20 | 50";"0 | 10";"87 | 57";"100 | 90";"80 | 50";"20 | 60";"1x0 | 1x1";"19.8";"2 | 1.2";"0.2 | 0.6";"2";"52 | 59";"";"10 | 10";"12.3 | 12.1";"7.1 | 8.2";"6.9";"1.9 | 2.4";"4.6 | 4.9";"1.5 | 1.9";"1.8 | 1.7";"3.4";"2.6"
"Brazil";"BRA";"Serie B";"30-06-2026 20:00";"NS";"Botafogo SP";"";"";"CRB";"2.25";"3.33";"74 | 60";"24 | 68";"5";"52 | 52";"1 | 1.8";"43 | 47";"12.4 | 7.9";"8";"25 | 62";"12";"20 | 50";"40 | 30";"40 | 20";"33 | 60";"60 | 80";"60 | 70";"80 | 50";"0x1 | 1x2";"28.8";"0.7 | 2";"0.9 | 1.3";"2.4";"51 | 53";"15 | 16";"10 | 10";"12.1 | 20.4";"11.9 | 13.3";"9.4";"3.3 | 4.9";"3.8 | 6.9";"2.8 | 2.3";"3.1 | 3";"5.6";"5.4"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Marítimo";"";"";"Atlético Ávila";"";"";"66 | 63";"48 | 27";"";"53 | 43";"1.5 | 0.9";"56 | 42";"6.1 | 9";"2";"0 | 50";"50";"40 | 10";"30 | 60";"30 | 30";"50 | 30";"70 | 70";"70 | 40";"60 | 90";"2x1 | 0x0";"15.7";"1.4 | 0.8";"1.1 | 1.2";"2.2";"52 | 48";"";"10 | 10";"8.6 | 7.2";"5.8 | 9.8";"6.4";"2.8 | 3.9";"4 | 2.1";"3.9 | 3.1";"3.8 | 3.6";"7.2";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Deportivo Miranda FC";"";"";"Academia Anzoátegui";"";"";"80 | 46";"20 | 44";"";"46 | 45";"1.4 | 0.9";"42 | 41";"12.5 | 9.2";"10";"10 | 50";"40";"40 | 20";"20 | 30";"40 | 50";"47 | 30";"60 | 50";"80 | 70";"60 | 80";"1x0 | 1x0";"21.3";"0.6 | 1.3";"0.7 | 1.7";"2.2";"50 | 46";"";"10 | 10";"7.5 | 11.9";"8 | 15.2";"8.2";"4 | 5.4";"3 | 3.9";"2.7 | 2.7";"3.9 | 4";"6.6";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Aragua";"";"";"Yaracuyanos";"";"";"80 | 70";"31 | 58";"";"53 | 51";"1.4 | 1.7";"51 | 61";"13.3 | 6.9";"10";"30 | 30";"40";"30 | 50";"50 | 20";"20 | 30";"47 | 57";"80 | 70";"50 | 80";"70 | 50";"1x1 | 0x1";"22.2";"0.9 | 1.7";"0.7 | 1";"2.2";"54 | 52";"";"10 | 10";"12 | 11.7";"10.3 | 10.3";"9.5";"4 | 4.5";"5.3 | 5.2";"3.4 | 3.1";"3.8 | 3.1";"6.7";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Caracas";"";"";"Fundación Lara Deportiva";"";"";"52 | 70";"48 | 41";"";"45 | 58";"1.4 | 1.4";"43 | 65";"8.4 | 10.7";"";"";"";"30 | 40";"50 | 20";"20 | 40";"47 | 47";"80 | 60";"50 | 80";"70 | 60";"1x1 | 1x0";"25.8";"1.4 | 1.2";"1.5 | 1";"2.6";"44 | 56";"";"10 | 10";"13.5 | 12.8";"17.1 | 8.1";"9.7";"5.4 | 4";"4.8 | 5.2";"2.5 | 3.7";"2 | 3.8";"6";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Bolívar SC";"";"";"Monagas";"";"";"70 | 74";"37 | 54";"";"45 | 44";"1.3 | 1.5";"43 | 39";"6.8 | 7.4";"2";"0 | 50";"50";"30 | 40";"40 | 30";"30 | 30";"43 | 50";"70 | 70";"60 | 70";"70 | 60";"0x0 | 1x1";"20.6";"1.1 | 1.6";"1 | 0.9";"2.3";"50 | 48";"";"10 | 10";"7.5 | 11.9";"10.6 | 11.1";"6.8";"4.1 | 3.4";"2.8 | 3.2";"4.2 | 2.3";"3.1 | 2.6";"6.1";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Mineros de Guayana";"";"";"Dinamo Puerto La Cruz";"";"";"60 | 56";"24 | 31";"";"56 | 49";"0.6 | 1";"55 | 42";"15.3 | 9.8";"6";"17 | 67";"17";"0 | 20";"60 | 40";"40 | 40";"20 | 33";"60 | 60";"40 | 60";"100 | 80";"1x1 | 0x0";"17.8";"0.7 | 0.9";"1.3 | 1.4";"2.2";"53 | 47";"";"10 | 10";"10.7 | 8.8";"7.7 | 8.3";"6.7";"3.1 | 3";"3.4 | 3.9";"3 | 3.7";"3.2 | 3.6";"6.7";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Atlético El Vigía";"";"";"Atlético Barinas";"";"";"10 | 42";"24 | 71";"";"46 | 53";"0.4 | 1.6";"51 | 60";"11 | 5.5";"2";"50 | 50";"0";"10 | 50";"10 | 10";"80 | 40";"13 | 53";"20 | 60";"90 | 90";"90 | 50";"0x1 | 1x2";"21.2";"0.7 | 2.1";"2.7 | 1.8";"3.6";"45 | 55";"";"10 | 10";"7.7 | 11.6";"13.3 | 9.8";"9";"6.6 | 3.9";"3 | 4.4";"2.4 | 1.9";"2.8 | 2.8";"5";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Zamora Fútbol Club";"";"";"Real Frontera";"";"";"70 | 46";"51 | 31";"";"50 | 40";"1.3 | 0.7";"46 | 42";"8 | 8.8";"";"";"";"30 | 20";"40 | 10";"30 | 70";"43 | 23";"70 | 30";"60 | 90";"70 | 80";"1x1 | 2x0";"24";"1.5 | 0.9";"1 | 1.7";"2.6";"50 | 43";"";"10 | 10";"12 | 7.9";"12.5 | 15.5";"8.1";"3.7 | 4.8";"4.3 | 3.4";"3.6 | 3.7";"3 | 2.1";"6.2";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Trujillanos";"";"";"Deportivo Lara";"";"";"32 | 77";"20 | 54";"";"51 | 53";"0.2 | 2";"51 | 53";"14 | 5.6";"10";"30 | 60";"10";"0 | 60";"20 | 20";"80 | 20";"7 | 67";"20 | 80";"80 | 80";"100 | 40";"1x3 | 0x1";"17.4";"0.6 | 1.6";"2.1 | 0.8";"2.6";"51 | 51";"";"10 | 10";"8.4 | 8.9";"9 | 8.4";"7.6";"3.8 | 3.8";"3.6 | 3.9";"3.1 | 3";"3 | 2.5";"5.8";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Rayo Zuliano";"";"";"Ureña";"";"";"38 | 80";"20 | 44";"";"43 | 50";"0.6 | 2.1";"38 | 52";"14.7 | 9.2";"4";"25 | 50";"25";"10 | 60";"30 | 30";"60 | 10";"20 | 70";"40 | 90";"70 | 70";"90 | 40";"0x0 | 0x0";"22";"0.6 | 1.3";"1.9 | 0.7";"2.2";"45 | 49";"";"10 | 10";"10 | 11.9";"14.3 | 7.9";"7.9";"5.3 | 2.8";"2.9 | 4.8";"3.2 | 1.7";"2.8 | 3";"5.4";""
"Brazil";"BRA";"Carioca C";"30-06-2026 14:45";"POSTPONED";"Campos AA";"";"";"Uni Souza";"";"";"88 | 42";"44 | 34";"";"59 | 61";"2 | 0.8";"58 | 68";"9.2 | 12.5";"3";"0 | 33";"67";"50 | 20";"50 | 20";"0 | 60";"67 | 27";"100 | 40";"50 | 80";"50 | 80";"0x0 | 1x0";"20.8";"1.3 | 1";"0.5 | 1.8";"2.3";"52 | 53";"2 | 9";"10 | 10";"12 | 12.5";"8.4 | 8.6";"7.9";"2.8 | 4.2";"4.1 | 4.6";"2.4 | 2";"2.9 | 2.1";"4.7";"5.8"
