"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"30-06-2026 14:00";"NS";"Côte d'Ivoire";"";"";"Norway";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"30-06-2026 18:00";"NS";"France";"";"";"Sweden";"3 | 0.5";"3 | 1";"0.5 | 3";"100";"75";"75";"25";"50";"3.8";"4";"100 | 17";"";"";"";"";"";"";"21.2";"15 | 13.5";"5 | 9"
"World";"WOR";"World Cup";"30-06-2026 22:00";"NS";"Mexico";"";"";"Ecuador";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"30-06-2026 20:00";"NS";"Botafogo SP";"";"";"CRB";"1.3 | 1.3";"1.7 | 1.6";"1.2 | 1.9";"100";"69";"84";"31";"93";"3.1";"2";"44 | 43";"";"";"";"";"";"";"24.2";"11.8 | 13";"9.3 | 14.3"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Marítimo";"";"";"Atlético Ávila";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Deportivo Miranda FC";"";"";"Academia Anzoátegui";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Aragua";"";"";"Yaracuyanos";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Caracas";"";"";"Fundación Lara Deportiva";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Bolívar SC";"";"";"Monagas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Mineros de Guayana";"";"";"Dinamo Puerto La Cruz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Atlético El Vigía";"";"";"Atlético Barinas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Zamora Fútbol Club";"";"";"Real Frontera";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Trujillanos";"";"";"Deportivo Lara";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Rayo Zuliano";"";"";"Ureña";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Carioca C";"30-06-2026 14:45";"POSTPONED";"Campos AA";"";"";"Uni Souza";"2.3 | 0";"1.3 | 1.5";"0.7 | 2.5";"84";"66";"84";"34";"75";"3";"3";"78 | 0";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"30-06-2026 19:00";"NS";"Audax Italiano";"";"";"Palestino";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"30-06-2026 21:30";"NS";"Universidad Católica";"";"";"Everton";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 13:00";"NS";"General Caballero CG";"";"";"29 de Setiembre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 15:30";"NS";"Olimpia Itá";"";"";"Sportivo Valois Rivarola";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 18:00";"NS";"14 de Mayo F. Yegros";"";"";"Campo Florido";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"30-06-2026 15:00";"NS";"Central Ballester";"";"";"Atlas";"0.8 | 0.8";"0.9 | 0.4";"1.1 | 0.9";"38";"19";"32";"81";"50";"1.6";"2";"25 | 25";"";"";"";"";"";"";"15.5";"6 | 8.6";"7 | 9.4"
