"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"Argentina";"ARG";"Primera C";"30-06-2026 15:00";"NS";"Claypole";"";"";"Cañuelas";"1.5 | 1.6";"1.3 | 1.3";"1.2 | 0.9";"78";"44";"67";"56";"62";"2.4";"2";"50 | 52";"";"";"";"";"";"";"16.8";"8.7 | 8.2";"8.5 | 8.1"
"Australia";"AUS";"New South Wales";"30-06-2026 07:00";"FT";"SD Raiders";"0";"1";"Sydney II";"1.5 | 1.4";"1.5 | 1.6";"1.1 | 1.4";"72";"56";"42";"44";"78";"2.8";"2";"50 | 46";"";"";"";"";"";"";"23.8";"11.4 | 12.9";"10.4 | 12.8"
"Australia";"AUS";"Brisbane Reserves Premier League";"30-06-2026 06:30";"NS";"Newmarket U23";"";"";"North Lakes United U23";"2.3 | 1.2";"6.4 | 2.1";"1.7 | 1.5";"93";"80";"66";"20";"";"5.8";"5";"76 | 42";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Queensland Premier League";"30-06-2026 07:30";"INPLAY_2ND_HALF";"Logan Lightning";"4";"1";"Redlands United";"1 | 1.4";"1.6 | 1.7";"2.1 | 1.4";"86";"64";"57";"36";"86";"3.4";"4";"33 | 48";"";"";"";"";"";"";"19.8";"12.1 | 9.1";"8.3 | 10"
"Australia";"AUS";"New South Wales NPL Youth League";"30-06-2026 05:00";"DELAYED";"SD Raiders U20";"";"";"Sydney U20";"1.6 | 1.9";"1.8 | 1.5";"1.8 | 1";"68";"55";"61";"45";"82";"3";"4";"53 | 62";"";"";"";"";"";"";"25.6";"14.6 | 12.2";"13.9 | 10.6"
"Australia";"AUS";"Victoria NPL 2 Youth";"30-06-2026 06:00";"AWAITING_UPDATES";"Bayside Argonauts U23";"";"";"Kingston City U23";"1.3 | 0.9";"2 | 1.9";"2.3 | 4.6";"100";"86";"64";"14";"";"5.4";"5";"43 | 29";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Victoria Dockerty Cup";"30-06-2026 06:30";"FT";"Brunswick Juventus";"0";"2";"Heidelberg United";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Queensland PL Youth";"30-06-2026 05:30";"FT";"Logan Lightning U23";"0";"0";"Redlands United U23";"2.4 | 1.3";"3 | 1";"1.1 | 2.1";"71";"71";"50";"29";"58";"3.6";"3";"81 | 43";"";"";"";"";"";"";"22.4";"13.5 | 10.8";"8 | 12.4"
"Australia";"AUS";"Queensland PL Youth";"30-06-2026 06:30";"TBA";"Robina City U23";"";"";"Capalaba U23";"1.7 | 0.9";"3.1 | 1.3";"1.7 | 2.4";"86";"78";"50";"22";"83";"4.3";"4";"57 | 29";"";"";"";"";"";"";"24";"12.6 | 9.7";"9.8 | 15.9"
"Brazil";"BRA";"Serie C";"30-06-2026 19:30";"NS";"Caxias";"";"";"Anápolis";"2.6 | 0";"1.6 | 0.2";"0.6 | 1.7";"65";"36";"38";"64";"55";"2";"3";"87 | 0";"";"";"";"";"";"";"22.6";"11.8 | 9.3";"10 | 14"
"Brazil";"BRA";"Serie C";"30-06-2026 20:30";"NS";"Botafogo PB";"";"";"Brusque";"1.8 | 1.2";"1.2 | 1.4";"0.8 | 1.4";"70";"40";"60";"60";"70";"2.4";"2";"60 | 40";"";"";"";"";"";"";"24.6";"11.4 | 10.2";"8.8 | 18.8"
"Brazil";"BRA";"Serie C";"30-06-2026 20:30";"NS";"Volta Redonda";"";"";"Amazonas";"1.8 | 1.4";"0.8 | 1";"0.5 | 1.8";"46";"28";"36";"72";"55";"2";"3";"61 | 47";"";"";"";"";"";"";"22.2";"12.5 | 7.6";"12 | 12.4"
"Brazil";"BRA";"Amazonense U20";"30-06-2026 16:00";"NS";"Desportivo Librade U20";"";"";"Clipper U20";"0 | 1.5";"0 | 3";"3.5 | 1";"100";"50";"0";"50";"";"3.8";"4";"0 | 50";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"30-06-2026 16:00";"NS";"Inter Academy U20";"";"";"Sul América U20";"0 | 0.3";"0.3 | 1";"6.7 | 1.7";"100";"84";"66";"16";"";"4.8";"5";"0 | 11";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Paraibano U20";"30-06-2026 19:30";"NS";"Treze U20";"";"";"Queimadense U20";"2.3 | 1";"2 | 1";"0.7 | 1";"84";"33";"67";"67";"";"2.4";"3";"78 | 33";"";"";"";"";"";"";"";"";""
"Denmark";"DEN";"Future Cup";"30-06-2026 07:00";"CANCELLED";"Nordsjælland Res.";"";"";"Lyngby Res.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"Esiliiga A";"30-06-2026 13:00";"NS";"Nõmme United II";"";"";"Flora II";"1.2 | 2.2";"1.5 | 2.8";"1.8 | 1.3";"92";"92";"75";"8";"92";"3.8";"3";"39 | 72";"";"";"";"";"";"";"25.2";"11.5 | 11.3";"15.8 | 11.7"
"Estonia";"EST";"Estonian Cup";"30-06-2026 13:30";"NS";"Jarva-Jaani";"";"";"Elva";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Finland Cup";"30-06-2026 12:00";"NS";"VPS";"";"";"Inter Turku";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Kakkonen";"30-06-2026 12:30";"NS";"SJK Akatemia II";"";"";"Vaajakoski";"1.2 | 1";"1.8 | 1.2";"2.2 | 1.8";"65";"65";"45";"35";"78";"3.5";"4";"40 | 33";"";"";"";"";"";"";"27.6";"14 | 11";"19.2 | 11"
"Finland";"FIN";"Kolmonen - Southern Group";"30-06-2026 14:00";"NS";"PPJ / Lauttasaari";"";"";"Atlantis / PM";"1.8 | 0.8";"2.8 | 2";"1.8 | 3";"88";"88";"88";"12";"100";"4.8";"5";"58 | 27";"";"";"";"";"";"";"24";"18.5 | 13";"9 | 7.5"
"Germany";"GER";"Reg. Cup Bayern";"30-06-2026 14:00";"NS";"Dingolfing";"";"";"Sportfreunde Schwaig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Republic of Ireland";"IRL";"Leinster Senior Cup";"30-06-2026 15:45";"NS";"Bray Wanderers";"";"";"St Patrick's";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 League";"30-06-2026 17:00";"NS";"Fylkir / Ellidi U19";"";"";"HK / Ýmir U19";"0 | 1.1";"2.3 | 2.5";"3.3 | 2.5";"100";"100";"94";"0";"100";"5.4";"5";"0 | 38";"";"";"";"";"";"";"25.2";"12.5 | 10";"17 | 11"
"Iceland";"ISL";"U19 League B";"30-06-2026 15:00";"NS";"Víkingur / BF108 U19";"";"";"Njar. / Grin. / Víð. U19";"2.4 | 1.6";"3.6 | 2.1";"0.6 | 2.1";"100";"78";"64";"22";"";"4.2";"5";"81 | 52";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 League B";"30-06-2026 17:00";"NS";"Stjarnan / KFG U19";"";"";"Leiknir/Árb/KB";"2.3 | 1.5";"4.3 | 2";"1 | 1.7";"100";"92";"67";"8";"";"4.5";"5";"78 | 50";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 League C";"30-06-2026 15:00";"NS";"Grotta / Kria U19";"";"";"Breidablik II U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Iceland";"ISL";"U19 League C";"30-06-2026 15:00";"NS";"Selfoss Árb. Æ Stok U19";"";"";"ÍA / Ka / Sk / VÓ II U19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Latvia";"LVA";"Virsliga";"30-06-2026 12:00";"NS";"Rīgas FS";"";"";"FC Daugavpils";"2.4 | 0.9";"3.2 | 1.4";"0.7 | 2";"94";"58";"66";"42";"64";"3.6";"3";"81 | 29";"";"";"";"";"";"";"26.9";"18.4 | 13.9";"6.8 | 14.8"
"Latvia";"LVA";"Virsliga";"30-06-2026 13:00";"NS";"Liepāja";"";"";"Ogre United";"1.7 | 0.3";"1.6 | 0.7";"1.1 | 3.2";"95";"65";"60";"35";"90";"3.3";"3";"57 | 10";"";"";"";"";"";"";"25";"10.3 | 9.3";"12.3 | 18.1"
"Mongolia";"MNG";"Premier League";"30-06-2026 05:00";"FT";"Ulaanbaatar";"2";"3";"Central Stallions";"2.5 | 1.9";"3.6 | 2.9";"1.1 | 0.9";"95";"65";"60";"35";"75";"4.2";"5";"83 | 63";"";"";"";"";"";"";"22.4";"13.5 | 12.9";"9.9 | 8.5"
"Mongolia";"MNG";"Premier League";"30-06-2026 08:00";"INPLAY_2ND_HALF";"Deren";"1";"1";"Khangarid";"1.8 | 1.7";"3.6 | 3.4";"1 | 1.2";"100";"65";"60";"35";"75";"4.6";"4";"60 | 57";"";"";"";"";"";"";"19.6";"11.1 | 14.3";"6.4 | 7.2"
"Paraguay";"PAR";"Division Intermedia";"30-06-2026 15:30";"NS";"Resistencia";"";"";"Encarnación";"1.3 | 1.2";"1.5 | 0.8";"1.5 | 0.8";"58";"42";"42";"58";"58";"2.4";"2";"44 | 39";"";"";"";"";"";"";"19.2";"7.7 | 9.8";"10.3 | 10.5"
"Paraguay";"PAR";"Division Intermedia";"30-06-2026 18:00";"NS";"Independiente FBC";"";"";"Benjamin Aceval";"1.8 | 2.2";"1.2 | 2.3";"0.8 | 1.2";"90";"44";"44";"56";"72";"2.8";"2";"60 | 72";"";"";"";"";"";"";"22.4";"12.4 | 10.2";"12.2 | 10"
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Khan Sheikhoun";"";"";"Homs Al Fidaa";"1.2 | 2.4";"1.1 | 1.6";"1.4 | 0.3";"65";"45";"45";"55";"65";"2.2";"2";"40 | 80";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Damascus Al Ahli";"";"";"Al Futuwa";"1.4 | 0.5";"1.2 | 0.7";"1.1 | 1.8";"65";"35";"40";"65";"70";"2.4";"2";"47 | 17";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Al-Ittihad Aleppo";"";"";"Al Jaish";"2.5 | 1.4";"2.8 | 0.6";"0.5 | 0.6";"55";"45";"30";"55";"50";"2.2";"2";"83 | 47";"";"";"";"";"";"";"19";"15.4 | 5.3";"8.4 | 9"
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Taliya";"";"";"Hottin";"2.1 | 1.5";"1.3 | 1.1";"0.6 | 1.5";"55";"45";"45";"55";"55";"2.2";"2";"70 | 50";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Tishreen";"";"";"Jabala";"1.5 | 0";"1.3 | 0.4";"0.9 | 2.6";"75";"50";"50";"50";"55";"2.6";"3";"50 | 0";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Al Shorta";"";"";"Horriya";"1.3 | 0.7";"1.3 | 0.7";"1.2 | 1";"70";"30";"45";"70";"65";"2.1";"2";"43 | 23";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Al Karama";"";"";"Umayya";"2.1 | 0.9";"2.3 | 1.1";"1.1 | 1.8";"80";"60";"70";"40";"75";"3.2";"3";"70 | 30";"";"";"";"";"";"";"";"";""
"Syria";"SYR";"Premier League";"30-06-2026 21:00";"NS";"Al Shouleh";"";"";"Wahda";"0.9 | 2.1";"0.5 | 1.3";"1.1 | 0.4";"50";"25";"30";"75";"45";"1.6";"2";"30 | 70";"";"";"";"";"";"";"";"";""
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Namungo";"";"";"Mtibwa Sugar";"1.5 | 0.3";"0.9 | 0.5";"0.7 | 2";"65";"40";"45";"60";"50";"2";"3";"50 | 10";"";"";"";"";"";"";"18.5";"11.5 | 4.5";"9.9 | 11.2"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Mashujaa";"";"";"Tanzania Prisons";"1.2 | 0.7";"0.5 | 0.7";"0.7 | 1.9";"60";"30";"30";"70";"70";"1.9";"2";"40 | 23";"";"";"";"";"";"";"20.8";"11.7 | 5.4";"11.9 | 12.7"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"JKT Tanzania";"";"";"Young Africans";"1.5 | 1.9";"1 | 1.4";"0.7 | 0.6";"50";"30";"30";"70";"60";"1.8";"1";"50 | 63";"";"";"";"";"";"";"18.2";"8.9 | 13";"6.9 | 7.6"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Simba";"";"";"KMC";"2.6 | 0.1";"2 | 0.7";"0.4 | 2.1";"75";"45";"35";"55";"80";"2.6";"1";"87 | 3";"";"";"";"";"";"";"15.5";"10.9 | 7";"3.9 | 9.2"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Coastal Union";"";"";"Pamba Jiji";"1.3 | 0.8";"1.1 | 0.6";"1.1 | 1.4";"70";"35";"55";"65";"65";"2.1";"2";"43 | 27";"";"";"";"";"";"";"19.2";"9.3 | 7.8";"12.7 | 8.8"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Azam";"";"";"Dodoma Jiji";"2.6 | 0.9";"1.8 | 0.6";"0 | 1.6";"60";"35";"20";"65";"58";"2";"2";"87 | 30";"";"";"";"";"";"";"15.8";"10.2 | 7.2";"3.9 | 10.2"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Mbeya City";"";"";"TRA United SC";"1 | 1.1";"0.7 | 0.9";"1.2 | 1.4";"60";"35";"30";"65";"80";"2.1";"2";"33 | 37";"";"";"";"";"";"";"12.8";"3.6 | 6.4";"5.7 | 9.9"
"Tanzania";"TAN";"Ligi kuu Bara";"30-06-2026 10:00";"NS";"Fountain Gate";"";"";"Singida Black Stars";"0.7 | 1.4";"0.8 | 1.4";"1.9 | 1.5";"90";"55";"60";"45";"75";"2.8";"2";"23 | 47";"";"";"";"";"";"";"16.8";"9.3 | 7.6";"9.5 | 7.2"
"United States";"USA";"USL League Two";"30-06-2026 19:00";"NS";"Inter Gainesville";"";"";"Brooke House";"1.8 | 1";"1.2 | 0.8";"1.2 | 2.2";"55";"55";"32";"45";"35";"2.8";"3";"58 | 33";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Midwest United";"";"";"Michigan Bucks";"0.8 | 2";"1 | 2";"1.2 | 1.7";"75";"75";"62";"25";"58";"3";"4";"25 | 67";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Kalamazoo FC";"";"";"Oakland County";"1.3 | 2";"2.3 | 1.8";"2 | 1";"88";"75";"88";"25";"75";"3.6";"4";"44 | 67";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Erie Sports Center";"";"";"Akron City";"0 | 0.8";"0.6 | 1.2";"3.8 | 2";"88";"88";"68";"12";"58";"3.8";"4";"0 | 25";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Charlotte Eagles";"";"";"Hickory";"1.2 | 2.5";"1.2 | 2.3";"1.8 | 0.8";"75";"75";"58";"25";"75";"3.1";"3";"39 | 83";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Boston";"";"";"Western Mass Pioneers";"1.4 | 2.2";"2 | 1.4";"2.2 | 0.4";"60";"50";"60";"50";"80";"3";"3";"47 | 73";"";"";"";"";"";"";"25.8";"13 | 12.5";"16.2 | 10"
"United States";"USA";"USL League Two";"30-06-2026 20:00";"NS";"Patuxent";"";"";"Hill City";"0 | 1.2";"0.5 | 2.8";"4.8 | 3.2";"100";"90";"65";"10";"90";"5.6";"5";"0 | 40";"";"";"";"";"";"";"24.6";"2.5 | 10.2";"22 | 14.5"
"United States";"USA";"USL League Two";"30-06-2026 20:30";"NS";"Virginia Marauders";"";"";"Annapolis Blues";"0.6 | 2";"0.6 | 2";"2.8 | 1";"70";"60";"40";"40";"50";"3.2";"3";"20 | 67";"";"";"";"";"";"";"25.6";"10 | 18.5";"16 | 6.8"
"United States";"USA";"USL League Two";"30-06-2026 21:00";"NS";"Sunflower State";"";"";"Des Moines Menace";"1.5 | 1";"1.5 | 0.8";"2.8 | 1.5";"88";"50";"50";"50";"88";"3.2";"4";"50 | 33";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 21:00";"NS";"Memphis";"";"";"Mississippi Brilla";"1 | 1";"1.2 | 1.3";"1.8 | 2";"58";"58";"58";"42";"62";"3.2";"4";"33 | 33";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 22:00";"NS";"Colorado Storm";"";"";"Colorado ISA";"3 | 0.6";"3 | 2.4";"0 | 3.8";"100";"84";"40";"16";"84";"4.6";"5";"100 | 20";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 22:00";"NS";"Snohomish United";"";"";"Tacoma Stars";"3 | 0.8";"3.2 | 1.6";"0.5 | 2.8";"100";"82";"56";"18";"100";"4.1";"4";"100 | 27";"";"";"";"";"";"";"21.2";"17.4 | 4.5";"12.6 | 8"
"United States";"USA";"USL League Two";"30-06-2026 23:00";"NS";"Ventura County Fusion";"";"";"Tucson";"2.3 | 0.8";"2.3 | 0.8";"0.3 | 1";"71";"29";"54";"71";"71";"2.2";"3";"78 | 25";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"30-06-2026 23:00";"NS";"Bangers";"";"";"Oly Town";"2.5 | 0.2";"1.7 | 0.4";"0.8 | 3.2";"92";"65";"45";"35";"72";"3";"3";"83 | 7";"";"";"";"";"";"";"";"";""
"United States";"USA";"NPSL";"30-06-2026 19:00";"NS";"Gio's Lions";"";"";"Michigan Rangers";"2.2 | 2";"3.2 | 4";"2 | 1";"100";"88";"71";"12";"100";"5.1";"5";"75 | 67";"";"";"";"";"";"";"";"";""
"United States";"USA";"NPSL";"30-06-2026 20:00";"NS";"WC Predators";"";"";"Hershey";"0.5 | 0";"2.5 | 0.8";"3.5 | 8.5";"100";"100";"62";"0";"100";"7.6";"6";"17 | 0";"";"";"";"";"";"";"";"";""
"United States";"USA";"NPSL";"30-06-2026 20:00";"TBA";"Ambassadors Ohio";"";"";"Buffalo Stallions";"1.8 | 0.6";"3.2 | 1";"1 | 3";"90";"70";"40";"30";"80";"4.1";"4";"60 | 20";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"30-06-2026 19:00";"NS";"865 Alliance W";"";"";"Decatur W";"1.5 | 1.3";"1.5 | 4.3";"0.5 | 1";"75";"42";"16";"58";"";"3.6";"4";"50 | 44";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"30-06-2026 21:00";"NS";"Nashville Rhythm W";"";"";"TN Tempo W";"1 | 1.5";"3 | 1";"2 | 2";"100";"84";"42";"16";"";"4";"3";"33 | 50";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"30-06-2026 23:00";"NS";"Yuba W";"";"";"Davis W";"0.2 | 1.4";"0.2 | 0.6";"2.2 | 1";"68";"22";"12";"78";"";"2";"3";"8 | 47";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"30-06-2026 23:00";"NS";"Davis W";"";"";"California Storm W";"1 | 3";"1.2 | 3.5";"1.8 | 0.5";"88";"75";"62";"25";"";"3.5";"3";"33 | 100";"";"";"";"";"";"";"";"";""
"United States";"USA";"UWS";"30-06-2026 20:30";"NS";"Michigan Stars W";"";"";"Michigan Jaguars II W";"1 | 2";"1.5 | 2.3";"1.5 | 2.7";"100";"58";"66";"42";"";"4";"4";"33 | 67";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 03:30";"TBA";"TĐTT Gia Lai U21";"";"";"Đà Nẵng U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 04:30";"FT";"Đồng Nai U21";"1";"0";"Mê Kông Cần Thơ U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 04:30";"FT";"HV An Giang U21";"1";"5";"Tây Ninh U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 04:55";"FT";"TP Hồ Chí Minh U21";"1";"2";"Hoàng Anh Gia Lai U21 I";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 05:30";"FT";"Thể Công – Viettel U21";"1";"1";"Hà Nội U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 05:30";"AWAITING_UPDATES";"PVF Vietnam U21";"";"";"Hà Nội Bulls U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 06:00";"FT";"Phù Đổng U21";"0";"1";"SLNA U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vietnam";"VIE";"U21 Championship";"30-06-2026 06:00";"FT";"Thanh Hóa U21";"1";"1";"Công An Hà Nội U21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Queensland NPL Women";"30-06-2026 06:30";"FT";"Eastern Suburbs NPL";"0";"0";"Gold Coast United W";"2.3 | 1.3";"1.9 | 1";"0.8 | 1.6";"65";"50";"50";"50";"80";"2.7";"3";"77 | 43";"";"";"";"";"";"";"23.4";"12.9 | 7.3";"8.1 | 18.5"
"Australia";"AUS";"Queensland NPL Women";"30-06-2026 06:30";"FT";"Gold Coast Knights W";"2";"0";"Lions W";"2.2 | 2";"2.8 | 2";"1 | 0.9";"89";"64";"58";"36";"79";"3.4";"3";"73 | 67";"";"";"";"";"";"";"27.6";"23.5 | 16.4";"4 | 11.1"
