"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"30-06-2026 14:00";"NS";"Côte d'Ivoire";"";"";"Norway";"3.49";"2.13";"1.26";"1.35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"30-06-2026 18:00";"NS";"France";"";"";"Sweden";"1.28";"9.97";"1.14";"1.70";"";"100 | 17";"3";"100 | 34";"100";"";"3.8";"4";"3 | 1";"0.5 | 3";"75";"50";"75";"50";"3";"21.2";"9.5";"8.2";"3 | 0.5";"8";"88 | 0";"50 | 50";"";"0.5 | 0";"0 | 1";"3";"0.8";"0.5 | 2";"2.5 | 1";"";"100 | 0";"5 | 6.5";"3 | 2";"8.9";"50";"50"
"World";"WOR";"World Cup";"30-06-2026 22:00";"NS";"Mexico";"";"";"Ecuador";"2.24";"3.84";"1.62";"1.11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"30-06-2026 20:00";"NS";"Botafogo SP";"";"";"CRB";"2.25";"3.33";"1.35";"1.26";"15 | 16";"44 | 43";"5";"58 | 54";"100";"";"3.1";"2";"1.7 | 1.6";"1.2 | 1.9";"84";"93";"69";"70";"2.3";"24.2";"9.8";"10.3";"1.3 | 1.3";"10";"63 | 38";"67 | 43";"";"1 | 0.9";"0.5 | 0.7";"1.6";"1.6";"0.7 | 1.1";"0.7 | 0.7";"";"33 | 29";"7 | 3.3";"4.2 | 6.1";"10.4";"70";"55"
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Marítimo";"";"";"Atlético Ávila";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Deportivo Miranda FC";"";"";"Academia Anzoátegui";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Aragua";"";"";"Yaracuyanos";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Caracas";"";"";"Fundación Lara Deportiva";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Bolívar SC";"";"";"Monagas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Mineros de Guayana";"";"";"Dinamo Puerto La Cruz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Atlético El Vigía";"";"";"Atlético Barinas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Zamora Fútbol Club";"";"";"Real Frontera";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Trujillanos";"";"";"Deportivo Lara";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venezuela";"VEN";"Copa Venezuela";"30-06-2026 21:00";"NS";"Rayo Zuliano";"";"";"Ureña";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Carioca C";"30-06-2026 14:45";"POSTPONED";"Campos AA";"";"";"Uni Souza";"";"";"";"";"2 | 9";"78 | 0";"";"44 | 51";"84";"";"3";"3";"1.3 | 1.5";"0.7 | 2.5";"84";"75";"66";"75";"2.7";"";"";"";"2.3 | 0";"";"80 | 18";"67 | 50";"";"0.5 | 0";"0.5 | 2.5";"1.2";"1.6";"1 | 0";"1 | 1.5";"";"67 | 0";"";"";"9.9";"";""
"Chile";"CHI";"Chilean Cup";"30-06-2026 19:00";"NS";"Audax Italiano";"";"";"Palestino";"2.28";"2.81";"1.24";"1.34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"30-06-2026 21:30";"NS";"Universidad Católica";"";"";"Everton";"1.50";"5.10";"1.16";"1.51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 13:00";"NS";"General Caballero CG";"";"";"29 de Setiembre";"8.90";"1.24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 15:30";"NS";"Olimpia Itá";"";"";"Sportivo Valois Rivarola";"1.25";"10.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"30-06-2026 18:00";"NS";"14 de Mayo F. Yegros";"";"";"Campo Florido";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"30-06-2026 15:00";"NS";"Central Ballester";"";"";"Atlas";"3.52";"2.17";"1.62";"1.08";"22 | 23";"25 | 25";"5";"31 | 14";"38";"";"1.6";"2";"0.9 | 0.4";"1.1 | 0.9";"32";"50";"19";"88";"1.9";"15.5";"5.3";"6.8";"0.8 | 0.8";"7";"66 | 74";"38 | 38";"";"0.1 | 0.2";"0.9 | 0.1";"1";"0.7";"0.2 | 0.8";"0.8 | 0.1";"";"12 | 12";"2.6 | 3.5";"4 | 3.4";"7.8";"38";"18"
