"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"01-07-2026 13:00";"NS";"England";"";"";"Congo DR";"1.27";"12.92";"1.27";"1.32";"";"67 | 17";"3";"68 | 17";"50";"";"2.2";"2";"2 | 0.5";"1 | 1";"50";"50";"25";"75";"3";"23.8";"8.5";"9.8";"2 | 0.5";"9";"70 | 70";"50 | 50";"";"1 | 0.5";"1 | 0.5";"0.8";"1.5";"0 | 0.5";"1 | 0";"";"50 | 0";"8.5 | 4";"2 | 5";"8.9";"100";"100"
"World";"WOR";"World Cup";"01-07-2026 17:00";"NS";"Belgium";"";"";"Senegal";"2.20";"3.50";"1.35";"1.24";"";"33 | 0";"5";"17 | 51";"75";"";"2.8";"3";"0.5 | 1.5";"0.5 | 3";"75";"50";"50";"50";"3";"26.2";"9.2";"8.5";"1 | 0";"8";"88 | 0";"50 | 50";"";"0 | 0";"0.5 | 0.5";"2.2";"0.5";"0 | 2.5";"0.5 | 1.5";"";"0 | 0";"3 | 4";"4.5 | 5.5";"8.9";"75";"75"
"World";"WOR";"World Cup";"01-07-2026 21:00";"NS";"United States";"";"";"Bosnia and Herzegovina";"1.38";"8.53";"1.25";"1.36";"";"100 | 17";"1";"100 | 34";"100";"";"3.5";"3";"3 | 1";"0.5 | 2.5";"75";"75";"50";"50";"3";"19.8";"7";"9.5";"3 | 0.5";"9";"88 | 18";"50 | 50";"";"2.5 | 0.5";"0 | 0";"2";"1.5";"0.5 | 2.5";"0.5 | 0.5";"";"100 | 0";"5 | 3.5";"2.5 | 8";"8.9";"75";"75"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 19:00";"POSTPONED";"LDU Quito";"";"";"Orense";"1.46";"6.55";"1.28";"1.31";"5 | 7";"52 | 48";"1";"24 | 48";"72";"";"2.2";"2";"0.7 | 1.4";"0.9 | 1.4";"50";"86";"36";"86";"2.2";"25.8";"7.5";"9.5";"1.6 | 1.4";"9";"74 | 56";"57 | 57";"";"0.3 | 0.7";"0.4 | 0.6";"1.2";"1";"0.4 | 0.9";"0.4 | 0.7";"";"43 | 43";"6.6 | 2.4";"3 | 7";"9.2";"78";"50"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 21:00";"NS";"Delfin";"";"";"Emelec";"2.71";"2.62";"1.48";"1.17";"15 | 8";"54 | 24";"5";"20 | 10";"34";"";"1.2";"2";"0.6 | 0.3";"0.5 | 1.1";"13";"40";"6";"100";"2.2";"22.4";"6.4";"9.1";"1.6 | 0.7";"9";"88 | 66";"12 | 57";"";"0.4 | 0";"0.1 | 0.3";"0.8";"0.4";"0.4 | 0.9";"0.2 | 0.3";"";"50 | 14";"4 | 3.9";"4.6 | 5.7";"9.2";"74";"66"
"Canada";"CAN";"Premier League";"01-07-2026 14:00";"NS";"Forge";"";"";"Vancouver FC";"1.47";"5.75";"1.28";"1.30";"1 | 7";"87 | 33";"1";"34 | 34";"35";"";"1.5";"2";"1 | 1";"0 | 1";"25";"35";"12";"88";"2.6";"21.6";"6.1";"9.2";"2.6 | 1";"9";"100 | 70";"80 | 50";"";"0.2 | 0.2";"0 | 0.2";"1.2";"0.4";"0 | 0.8";"0.8 | 0.8";"";"80 | 25";"4.4 | 7.8";"3.6 | 2.8";"9.1";"80";"60"
"Canada";"CAN";"Premier League";"01-07-2026 17:00";"NS";"HFX Wanderers";"";"";"Atlético Ottawa";"2.52";"2.54";"1.26";"1.31";"4 | 3";"53 | 22";"5";"68 | 34";"82";"";"3.4";"3";"2 | 1";"1.6 | 2.2";"74";"74";"64";"45";"2.6";"23.6";"8.4";"9.4";"1.6 | 0.7";"9";"49 | 28";"60 | 50";"";"0.6 | 0";"0.8 | 1";"2.2";"1.2";"0.8 | 1.2";"1.4 | 1";"";"40 | 17";"5.4 | 3.8";"4.8 | 4.8";"9.1";"75";"75"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Univ. Concepción";"";"";"Ñublense";"2.43";"2.56";"1.21";"1.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Cobresal";"";"";"La Serena";"1.93";"3.61";"1.27";"1.30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Deportes Limache";"";"";"Coquimbo Unido";"2.94";"2.20";"1.24";"1.41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
