"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"World";"WOR";"World Cup";"01-07-2026 13:00";"NS";"England";"";"";"Congo DR";"1.27";"12.92";"100 | 84";"68 | 37";"3";"76 | 52";"2.3 | 1.4";"71 | 45";"8 | 9.5";"";"";"";"70 | 30";"20 | 50";"10 | 20";"77 | 47";"90 | 80";"80 | 50";"30 | 70";"2x0 | 0x0";"23.8";"2 | 1.1";"0.4 | 0.6";"2";"68 | 46";"";"10 | 10";"19.8 | 12.9";"6.2 | 8.8";"7.2";"1.7 | 3.2";"6.1 | 3.3";"0.6 | 1";"1.7 | 1.8";"2.6";"2.6"
"World";"WOR";"World Cup";"01-07-2026 17:00";"NS";"Belgium";"";"";"Senegal";"2.20";"3.50";"77 | 70";"100 | 58";"5";"66 | 59";"2.2 | 1.7";"69 | 52";"4.8 | 6.8";"";"";"";"60 | 50";"40 | 20";"0 | 30";"73 | 57";"100 | 70";"60 | 80";"40 | 50";"1x1 | 0x0";"25.6";"3.1 | 1.7";"0.8 | 1";"3.3";"58 | 58";"";"10 | 10";"19.1 | 14";"7.9 | 10.1";"9.6";"2.5 | 3.3";"7.4 | 6";"1.3 | 1.9";"2 | 1.6";"3.4";"2.6"
"World";"WOR";"World Cup";"01-07-2026 21:00";"NS";"United States";"";"";"Bosnia and Herzegovina";"1.38";"8.53";"42 | 63";"78 | 54";"1";"57 | 48";"1.8 | 1.5";"51 | 55";"4.3 | 6.2";"3";"67 | 0";"33";"60 | 30";"0 | 60";"40 | 10";"60 | 50";"60 | 90";"100 | 40";"40 | 70";"2x1 | 1x1";"21.6";"2.3 | 1.6";"1.8 | 1.2";"3.4";"54 | 50";"";"10 | 10";"11.8 | 12.6";"9.4 | 9.5";"8";"3.5 | 3.3";"4.4 | 4.7";"1.5 | 2.3";"1.9 | 1.4";"3.6";"2.6"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 19:00";"POSTPONED";"LDU Quito";"";"";"Orense";"1.46";"6.55";"74 | 70";"41 | 44";"1";"54 | 49";"1.7 | 1.7";"45 | 43";"8.6 | 7.9";"10";"50 | 50";"0";"50 | 50";"20 | 20";"30 | 30";"57 | 57";"70 | 70";"80 | 80";"50 | 50";"0x1 | 1x2";"25.4";"1.2 | 1.3";"0.9 | 1";"2.2";"51 | 50";"5 | 7";"10 | 10";"14.1 | 12.3";"12.4 | 12";"8.8";"4.4 | 3.8";"3.6 | 5.8";"2.8 | 2.9";"2.1 | 2.8";"5.3";"5"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 21:00";"NS";"Delfin";"";"";"Emelec";"2.71";"2.62";"66 | 77";"24 | 24";"5";"38 | 46";"1.1 | 1.5";"30 | 37";"10.9 | 13.1";"10";"30 | 50";"20";"30 | 40";"20 | 30";"50 | 30";"37 | 50";"50 | 70";"80 | 70";"70 | 60";"0x1 | 0x1";"24.1";"0.7 | 0.7";"1.1 | 0.8";"1.6";"36 | 46";"15 | 8";"10 | 10";"8.6 | 11.5";"13.8 | 14.3";"7.4";"4.4 | 4.6";"2.7 | 3.2";"3.7 | 1.9";"1.5 | 2.2";"4.6";"5"
"Canada";"CAN";"Premier League";"01-07-2026 14:00";"NS";"Forge";"";"";"Vancouver FC";"1.47";"5.75";"100 | 70";"58 | 37";"1";"58 | 52";"2.5 | 1.4";"57 | 49";"6.4 | 9.5";"10";"70 | 10";"20";"80 | 40";"10 | 20";"10 | 40";"83 | 47";"90 | 60";"90 | 80";"20 | 60";"1x0 | 1x0";"23.4";"1.7 | 1.1";"0.4 | 1";"2.1";"50 | 46";"1 | 7";"10 | 10";"14.3 | 14.8";"8.4 | 9.3";"7.4";"2.6 | 2.8";"5.1 | 4.4";"1.2 | 1.5";"2 | 2.8";"3.8";"4.2"
"Canada";"CAN";"Premier League";"01-07-2026 17:00";"NS";"HFX Wanderers";"";"";"Atlético Ottawa";"2.52";"2.54";"42 | 46";"37 | 61";"5";"41 | 48";"0.8 | 1.7";"40 | 42";"5.3 | 4.7";"10";"20 | 40";"40";"20 | 50";"20 | 20";"60 | 30";"27 | 57";"40 | 70";"80 | 80";"80 | 50";"0x1 | 0x1";"24";"1.1 | 1.8";"1.8 | 1.7";"3.2";"46 | 62";"4 | 3";"10 | 10";"8.6 | 11.7";"15 | 12.8";"8.4";"4.7 | 5.2";"2.7 | 4.2";"2.5 | 1.6";"1.7 | 1.9";"3.8";"4.2"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Univ. Concepción";"";"";"Ñublense";"2.43";"2.56";"32 | 52";"44 | 58";"5";"50 | 54";"0.7 | 1.8";"51 | 59";"7.7 | 6.5";"10";"20 | 60";"20";"10 | 50";"40 | 30";"50 | 20";"23 | 60";"50 | 80";"60 | 70";"90 | 50";"1x2 | 0x1";"24.8";"1.3 | 1.7";"2.1 | 1.5";"3.3";"53 | 53";"";"10 | 10";"12.6 | 12.7";"13.4 | 11";"9.6";"5.7 | 4";"4.5 | 5";"3.1 | 2.2";"2.9 | 2.2";"5.2";"4.5"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Cobresal";"";"";"La Serena";"1.93";"3.61";"46 | 10";"17 | 48";"1";"43 | 51";"0.7 | 0.8";"45 | 53";"16.4 | 9.1";"10";"40 | 30";"30";"20 | 20";"10 | 20";"70 | 60";"23 | 27";"30 | 40";"90 | 80";"80 | 80";"0x1 | 4x2";"27.6";"0.5 | 1.4";"1.7 | 2.7";"3.2";"46 | 43";"";"10 | 10";"11.2 | 14.3";"16 | 13.7";"9.4";"5.1 | 5.5";"3.1 | 5.1";"2.2 | 2.4";"1.7 | 2.3";"4.3";"4.5"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Deportes Limache";"";"";"Coquimbo Unido";"2.94";"2.20";"25 | 84";"44 | 58";"5";"49 | 55";"0.5 | 2.1";"57 | 55";"7.8 | 6.2";"7";"29 | 57";"14";"10 | 60";"20 | 30";"70 | 10";"17 | 70";"30 | 90";"80 | 70";"90 | 40";"2x3 | 0x3";"24";"1.3 | 1.7";"2.3 | 0.6";"3";"45 | 45";"";"10 | 10";"12.4 | 12.6";"13.6 | 9.4";"9.2";"5.6 | 3.1";"4.7 | 4.9";"1.7 | 2.5";"1.9 | 2";"4";"4.5"
